Name,Operator,Began operation,Tonnage,Status
Bahamas Celebration,Celebration Cruise Line,2008,"35,483","Scrapped . Formerly , the MS Prinsesse Ragnhild ( 1981-2008 ) sold and renamed in 2008 , irreparably damaged in a grounding incident in 2014 , sold for scrap in 2015"
Balmoral,Fred . Olsen Cruise Lines,2007,"43,537","Operating . Formerly : Norwegian Crown , Crown Odyssey"
Barcelona,Companhia Colonial de Navegacao,1961,"23,306","Operated as Infante Dom Henrique until 1975 , then operated as a floating hotel until 1988 , sold and brought back as a cruise ship under the name Vasco da Gama ( 1988-91 ) , sold and renamed SeaWind Crown ( 1991-2002 ) , laid up in 2002 , sold and renamed Barcelona , sent to the breakers in India in 2004"
Belofin I,AG Belofin Investments of Liechtenstein,1970,"18,017","Formerly : the SS Monterey ( 1932-1953 ) , the SS Matsonia ( 1954-63 ) , and the SS Lurline ( 1963-1970 ) , SS Britanis ( 1970-1998 ) chartered to the US Government as an accommodation ship ( 1994 ) , laid up in ( 1996 ) , sold and renamed Belofin I ( 1998 ) , sold for scrap and sank off the Cape of Good Hope while en route to the breakers in 2000"
Bianca C,Costa Line,1944,"18,427",Sunk in 1961
The Big Red Boat,Premier Cruises,1998,"32,000","Repossessed by creditors in 2000 . Formerly : SS Big Red Boat III , SS IslandBreeze , SS Festivale , SS S.A. Vaal , RMS S.A. Vaal , RMS Transvaal Castle . Sold for scrap in 2003"
Birka Stockholm,Birka Line,2004,"34,924",Operating . Originally the Birka Paradise
Black Watch,Fred . Olsen Cruise Lines,1996,"28,613","Operating . Formerly : Star Odyssey , Westward , Royal Viking Star"
Bore,Steamship Company Bore,2010,"4,295","Operating . Formerly : Bore , Borea , Kristina Regina , changed back to Bore"
Boudicca,Fred . Olsen Cruise Lines,2006,"28,388","Operating . Formerly : Grand Latino , Superstar Capricorn , Hyundai Keumgang , Golden Princess , Sunward , Birka Queen , Royal Viking Sky"
Braemar,Fred . Olsen Cruise Lines,2001,"19,089","Operating . Formerly : Crown Dynasty , Norwegian Dynasty , Crown Majesty , Cunard Crown Majesty"
Brahe,Saimaan Matkaverkko Ltd,2010,"1,105","Operating . Formerly : MS Kristina Brahe , USS PCE 830 , HMS Kilchrenan , Sunnhordland"
Bremen,Hapag-Lloyd Cruises,1993,"6,753",Operating
Brilliance of the Seas,Royal Caribbean International,2002,"90,090",Operating
Britannia,P & O Cruises,2015,"143,730",Operating
