Name,Space Agency,Launch Date,Terminated,Location
Hipparcos,ESA,8 Aug 1989,Mar 1993,"Earth orbit ( 223-35,632 km )"
Hubble Space Telescope,NASA & ESA,24 Apr 1990,-,Earth orbit ( 586.47-610.44 km )
MOST,CSA,30 Jun 2003,Mar 2019,Earth orbit ( 819-832 km )
Swift Gamma Ray Burst Explorer,NASA,20 Nov 2004,-,Earth orbit ( 585-604 km )
COROT,CNES & ESA,27 Dec 2006,2013,Earth orbit ( 872-884 km )
Kepler,NASA,6 Mar 2009,30 Oct 2018,Earth-trailing heliocentric orbit
BRITE constellation,"Austria , Canada , Poland",25 Feb 2013 - 19 Aug 2014,-,Earth orbit
Near Earth Object Surveillance Satellite ( NEOSSat ),"CSA , DRDC",25 Feb 2013,-,Sun-synchronous Earth orbit ( 776-792 km )
Gaia ( astrometry ),ESA,19 Dec 2013,-,Sun - Earth L 2 Lagrange point
Astrosat,ISRO,28 Sep 2015,-,Earth orbit ( 600-650 km )
Transiting Exoplanet Survey Satellite ( TESS ),NASA,18 Apr 2018,-,High Earth Orbit
