Island,Municipality,County
Belle Isle,Detroit,Wayne
Calf Island,Grosse Ile Township,Wayne
Celeron Island,Grosse Ile Township,Wayne
Edmond Island,Gibraltar,Wayne
Elba Island,Grosse Ile Township,Wayne
Elizabeth Park,Trenton,Wayne
Fox Island,Grosse Ile Township,Wayne
Grassy Island,Grosse Ile Township,Wayne
Grosse Ile,Grosse Ile Township,Wayne
Hamburg Island,Trenton,Wayne
Hickory Island,Grosse Ile Township,Wayne
Horse Island,Gibraltar,Wayne
Mamajuda Island,Grosse Ile Township,Wayne
Meso Island,Grosse Ile Township,Wayne
Mud Island,Ecorse,Wayne
Powder House Island,Grosse Ile Township,Wayne
Round Island,Grosse Ile Township,Wayne
Stony Island,Grosse Ile Township,Wayne
Sturgeons Bar,Brownstown Township,Wayne
Sugar Island,Grosse Ile Township,Wayne
