Year,Character,Actor ( s ),Series
2006,Adam,Braeden Lemasters,House M.D
2019,Lana Moore,Vered Blonstein,The Good Doctor
2011,Gary Bell,Ryan Cartwright,Alphas
2007,Karla Bentham,Jessica Baglow,Waterloo Road
2006,Kevin Blake,Meschach Peters and Trevor Jackson,Eureka
2014,Rebecca Blithely,Melissa Farman,Strange Empire
2012,Jacob Jake Bohm,David Mazouz,Touch
2010,Max Braverman,Max Burkholder,Parenthood
2003,Laurence Burrell,Jim Sturgess,A Touch of Frost
2010,Carl Gould,Dwayne Hill,Arthur
1978,Timmy Carson,David Hollander,"Quincy , M.E"
1995,Roy Cropper,David Neilson,Coronation Street
2013,Sonya Cross,Diane Kruger,The Bridge
2009,Robert Daly,Sam Peter Corry,Fair City
2008,Connor DeLaurier,A.J . Saudin,Degrassi : The Next Generation
2008,Virginia Dixon,Mary McDonnell,Grey 's Anatomy
2005,Jerry Espenson,Christian Clemenson,Boston Legal
2011,The parallel universe version of Astrid Farnsworth,Jasika Nicole,Fringe
2010,Micaela Gómez,Monica Spear,La mujer perfecta ( The Perfect Woman )
2012,Shahir Hamza,Huse Madhavji,Saving Hope
