Scientific name,Common name,Classified,Conservation status
Callithrix jacchus,Common marmoset,1758 Linnaeus,least concern
Callithrix penicillata,Black-tufted marmoset,1812 É. Geoffroy,least concern
Callithrix kuhlii,Wied 's marmoset,1985 Coimbra-Filho,near threatened
Callithrix geoffroyi,White-headed marmoset,1812 E. Geoffroy,least concern
Callithrix flaviceps,Buffy-headed marmoset,1903 Thomas,endangered
Callithrix aurita,Buffy-tufted marmoset,1812 E. Geoffroy,vulnerable
Mico acariensis,Rio Acari marmoset,2000 van Roosmaalen et al,data deficient
Mico argentata,Silvery marmoset,1766 Linnaeus,least concern
Mico leucippe,White marmoset,1922 Thomas,vulnerable
Mico emiliae,Emilia 's marmoset,1920 Thomas,data deficient
Mico nigriceps,Black-headed marmoset,1992 Ferrari and Lopes,data deficient
Mico manicorensis,Manicore marmoset,2000 van Roosmaalen et al,least concern
Mico marcai,Marca 's marmoset,1993 Alperin,data deficient
Mico melanura,Black-tailed marmoset,1812 É. Geoffroy,least concern
Mico humeralifera,Santarem marmoset,1812 É. Geoffroy,data deficient
Mico mauesi,Maués marmoset,"1992 R.A. Mittermeier , Schwarz & Ayres",least concern
Mico chrysoleuca,Gold-and-white marmoset,1842 Wagner,least concern
Mico intermedia,Hershkovitz 's marmoset,1977 Hershkovitz,least concern
Callibella humilis,Roosmalens ' dwarf marmoset,1998 van Roosmalen et al,vulnerable
Cebuella pygmaea,Pygmy marmoset,1823 Spix,least concern
