WMA name,Counties,Area,Year established,Location
Big Cottonwood,Cassia,814 acres ( 329 ha ),1993,42°18′17″N 114°00′45″W / 42.304728°N 114.012629°W / 42.304728 ; -114.012629 ( Big Cottonwood )
Billingsley Creek,Gooding,284 acres ( 115 ha ),1963,42°50′08″N 113°55′53″W / 42.835419°N 113.931455°W / 42.835419 ; -113.931455 ( Billingsley Creek )
Blackfoot River,Caribou,"2,400 acres ( 970 ha )",1994,42°49′23″N 111°20′17″W / 42.823114°N 111.338132°W / 42.823114 ; -111.338132 ( Blackfoot River )
Boise River,"Ada , Boise , Elmore","34,000 acres ( 14,000 ha )",1943,43°35′43″N 116°02′55″W / 43.595227°N 116.048664°W / 43.595227 ; -116.048664 ( Boise River )
Boundary Creek,Boundary,"1,405 acres ( 569 ha )",1999,48°58′58″N 116°32′55″W / 48.982655°N 116.548659°W / 48.982655 ; -116.548659 ( Boundary Creek )
Camas Prairie,Camas,"3,100 acres ( 1,300 ha )",1987,43°17′22″N 115°01′06″W / 43.289343°N 115.018402°W / 43.289343 ; -115.018402 ( Camas Prairie )
Carey Lake,Blaine,400 acres ( 160 ha ),1949,43°19′25″N 113°55′53″W / 43.323509°N 113.931455°W / 43.323509 ; -113.931455 ( Carey Lake )
Cartier Slough,Madison,961 acres ( 389 ha ),1976,43°48′55″N 111°54′47″W / 43.815377°N 111.913122°W / 43.815377 ; -111.913122 ( Cartier Slough )
Cecil D. Andrus,Washington,"23,908 acres ( 9,675 ha )",1993,44°45′27″N 116°53′19″W / 44.757589°N 116.888624°W / 44.757589 ; -116.888624 ( Cecil D. Andrus )
C.J . Strike,"Elmore , Owyhee","10,664 acres ( 4,316 ha )",1953,42°57′29″N 115°58′05″W / 42.958104°N 115.968016°W / 42.958104 ; -115.968016 ( C.J . Strike )
Coeur d'Alene River,"Benewah , Kootenai","5,799 acres ( 2,347 ha )",1964,47°28′57″N 116°43′56″W / 47.482485°N 116.732146°W / 47.482485 ; -116.732146 ( Coeur d'Alene River )
Craig Mountain,Nez Perce,"115,000 acres ( 47,000 ha )",1971,46°07′29″N 116°55′04″W / 46.124601°N 116.917648°W / 46.124601 ; -116.917648 ( Craig Mountain )
Deer Parks,"Jefferson , Madison","2,556 acres ( 1,034 ha )",1997,43°45′46″N 111°59′58″W / 43.762833°N 111.999545°W / 43.762833 ; -111.999545 ( Deer Parks )
Farragut,Kootenai,"1,413 acres ( 572 ha )",1949,47°58′19″N 116°32′30″W / 47.971846°N 116.541586°W / 47.971846 ; -116.541586 ( Farragut )
Fort Boise,Canyon,"1,630 acres ( 660 ha )",1956,43°49′05″N 117°00′36″W / 43.817939°N 117.009865°W / 43.817939 ; -117.009865 ( Fort Boise )
Georgetown Summit,Bear Lake,"3,349 acres ( 1,355 ha )",1991,42°33′22″N 111°25′00″W / 42.556207°N 111.416566°W / 42.556207 ; -111.416566 ( Georgetown Summit )
Hagerman,Gooding,880 acres ( 360 ha ),1940,42°46′09″N 114°52′43″W / 42.769254°N 114.878624°W / 42.769254 ; -114.878624 ( Hagerman )
Market Lake,Jefferson,"5,071 acres ( 2,052 ha )",1956,43°46′47″N 112°08′47″W / 43.779813°N 112.146471°W / 43.779813 ; -112.146471 ( Market Lake )
McArthur Lake,"Bonner , Boundary","1,207 acres ( 488 ha )",1942,48°30′49″N 116°26′59″W / 48.5137°N 116.449741°W / 48.5137 ; -116.449741 ( McArthur Lake )
Montour,Gem,"1,100 acres ( 450 ha )",1976,43°55′49″N 116°19′35″W / 43.93029°N 116.326396°W / 43.93029 ; -116.326396 ( Montour )
