Year,Winner,Runner-up,Result,Championship Series MVP
1998,Atlantic City Surf,Bridgeport Bluefish,3-1,Chris Eddy
1999,Bridgeport Bluefish,Somerset Patriots,3-0,Duane Singleton
2000,Nashua Pride,Somerset Patriots,3-0,D.J . Boston
2001,Somerset Patriots,Newark Bears,3-2,Robert Dodd
2002,Newark Bears,Bridgeport Bluefish,3-0,Jimmy Hurst
2003,Somerset Patriots ( 2 ),Nashua Pride,3-2,Jeff Nettles
2004,Long Island Ducks,Camden Riversharks,3-0,Justin Davies
2005,Somerset Patriots ( 3 ),Nashua Pride,3-0,Mark DiFelice
2006,Lancaster Barnstormers,Bridgeport Bluefish,3-0,Jeremy Todd
2007,Newark Bears ( 2 ),Somerset Patriots,3-1,José Herrera
2008,Somerset Patriots ( 4 ),Camden Riversharks,3-1,Brandon Larson
2009,Somerset Patriots ( 5 ),Southern Maryland Blue Crabs,3-1,Jeff Nettles
2010,York Revolution,Bridgeport Bluefish,3-0,Ramón Castro
2011,York Revolution ( 2 ),Long Island Ducks,3-1,Vince Harrison
2012,Long Island Ducks ( 2 ),Lancaster Barnstormers,3-2,Dan Lyons
2013,Long Island Ducks ( 3 ),Somerset Patriots,3-2,John Brownell
2014,Lancaster Barnstormers ( 2 ),Sugar Land Skeeters,3-0,Gabe Jacobo
2015,Somerset Patriots ( 6 ),Southern Maryland Blue Crabs,3-1,Roy Merritt
2016,Sugar Land Skeeters,Long Island Ducks,3-0,Juan Martinez
2017,York Revolution ( 3 ),Long Island Ducks,3-0,Telvin Nash / Chase Huchingson
