Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Rolland Lawrence,CB,Tabor College,KCAC
Dallas Cowboys,Drew Pearson,WR,Tulsa,MVC
Dallas Cowboys,Larry Robinson,RB,Tennessee,SEC
Detroit Lions,Gary Danielson,QB,Purdue,Big Ten
Los Angeles Rams,Charlie Smith,WR,Grambling State,SWAC
New York Jets,Bill Demory,QB,Arizona,WAC
New Orleans Saints,Elex Price,DT,Alcorn State,SWAC
St. Louis Cardinals,Clarence Duren,S,California,Pac-8
St. Louis Cardinals,Pat Leahy,K,Saint Louis,MVC
San Diego Chargers,Ray Wersching,K,California,Pac-8
