Year,Election,Winning Party/Coalition,Chief Minister
1971,Fifth Assembly,Dravida Munnetra Kazhagam,M. Karunanidhi ( 2 )
1977,Sixth Assembly,Anna Dravida Munnetra Kazhagam,M.G . Ramachandran
1980,Seventh Assembly,Anna Dravida Munnetra Kazhagam,M.G . Ramachandran ( 2 )
1984,Eighth Assembly,Anna Dravida Munnetra Kazhagam,M.G . Ramachandran ( 3 ) Janaki Ramachandran
1989,Ninth Assembly,Dravida Munnetra Kazhagam,M. Karunanidhi ( 3 )
1991,Tenth Assembly,"Anna Dravida Munnetra Kazhagam ADMK-164 ; ADMK+ 225/234 DMK-2 , DMK+ 7/234 )",J. Jayalalithaa
1996,Eleventh Assembly,Dravida Munnetra Kazhagam ( DMK + Tamil Manila + CPI = 221/234 ; ADMK - 4 seats ),M. Karunanidhi ( 4 )
2001,Twelfth Assembly,"Anna Dravida Munnetra Kazhagam ADMK+ 196/234 ADMK-132 , TMC-23 , PMK-20 , INC-7 DMK+ 37 ; DMK-31",J. Jayalalithaa ( 2 ) O. Panneerselvam J. Jayalalithaa ( 3 )
2006,Thirteenth Assembly,"Dravida Munnetra Kazhagam DMK+ 163/234 , DMK-96 , INC-34 , PMK-18 AIADMK+ 69/234 , ADMK-61/69",M. Karunanidhi ( 5 )
2011,Fourteenth Assembly,"Anna Dravida Munnetra Kazhagam AIADMK+ 203/234 , ADMK-150/203 , DMDK-29 CPI/M 10+9 DMK+ 31 ( DMK-23 , INC-5 , PMK-3 )",J. Jayalalithaa ( 4 ) O. Panneerselvam ( 2 ) J. Jayalalithaa ( 5 )
2016,Fifteenth Assembly,Anna Dravida Munnetra Kazhagam + 134 DMK+ 98 PWF 0 PMK 0,J. Jayalalithaa ( 6 ) O. Panneerselvam ( 3 ) Edappadi K. Palaniswami
2021,Sixteenth Assembly,TBA,TBA
