Year,Round,Pick,Name,From
1954,1,2,Bob Pettit,Louisiana State University
1954,2,11,Bob Mattick,Oklahoma A & M University
1954,3,20,Walt Walowac,Marshall College
1954,4,29,Phil Martin,University of Toledo
1954,5,38,Paul Ebert,Ohio State University
1954,6,47,Bob Carney,Bradley University
1954,7,56,Alan Kelley,University of Kansas
1954,8,65,Dick Nunneley,University of Tulsa
1954,9,74,Hal Cervini,Tulane University
1954,10,82,Joe Bertrand,University of Notre Dame
1954,11,91,Jerry Domerschick,City College of New York
1954,12,97,Ron Weisner,University of Wisconsin-Madison
1953,1,2,Bob Houbregs,University of Washington
1953,,,Irv Bemoras,University of Illinois at Urbana-Champaign
1953,,,Bill Bolger,Georgetown University
1953,,,Paul Brandt,Columbia University
1953,,,Joe Cipriano,University of Washington
1953,,,Gene Dyker,DePaul University
1953,,,Eddie O'Brien,Seattle University
1953,,,John O'Brien,Seattle University
