Round,GS,GA,WA,C,WD,GD,GK
Round 1,J.Fowler ( WCF ),J.Harten ( GIA ),P.Hadley ( NSW ),M.Proud ( NSW ),J.Anstiss ( WCF ),K.Pretorius ( SCL ),S.Sterling ( ADE )
Round 2,J. Fowler ( WCF ),S.Wood ( SCL ),L.Scherian ( SCL ),K.Moloney ( VIX ),A.Brazill ( MAG ),K.Pretorius ( SCL ),E.Mannix ( VIX )
Round 3,S.Wallace ( NSW ),H.Housby ( NSW ),I.Colyer ( WCF ),P.Hadley ( NSW ),R.Ingles ( VIX ),K.Pretorius ( SCL ),S.Sterling ( ADE )
Round 4,S.Nelson ( MAG ),K.Stanton ( WCF ),L.Watson ( VIX ),P.Hadley ( NSW ),A.Brazill ( MAG ),K.Pretorius ( SCL ),S.Sterling ( ADE )
Round 5,P.Proscovia ( SCL ),N.Medhurst ( MAG ),M.Proud ( NSW ),L.Langman ( SCL ),G.Simpson ( FIR ),K.Pretorius ( SCL ),S.Sterling ( ADE )
Round 6,J.Fowler ( WCF ),H.Housby ( NSW ),C.Nevins ( FIR ),J.Price ( GIA ),A.Parmenter ( GIA ),T.Hinchliffe ( FIR ),C.Bruce ( WCF )
Round 7,J.Fowler ( WCF ),H.Housby ( NSW ),M.Proud ( NSW ),P.Hadley ( NSW ),R.Ingles ( VIX ),K.Pretorius ( SCL ),G.Mentor ( MAG )
Round 8,P.Proscovia ( SCL ),H.Housby ( NSW ),C.Pitman ( ADE ),J.Price ( GIA ),A.Brazill ( MAG ),K.Pretorius ( SCL ),P.Maweni ( SCL )
Round 9,P.Proscovia ( SCL ),N.Medhurst ( MAG ),L.Watson ( VIX ),K.Moloney ( VIX ),A.Parmenter ( GIA ),M.Turner ( NSW ),S.Sterling ( ADE )
Round 10,C.Koenan ( SCL ),S.Wood ( SCL ),K.Browne ( MAG ),J.Price ( GIA ),A.Brazill ( MAG ),K.Manu ' a ( GIA ),S.Sterling ( ADE )
Round 11,C.Bassett ( GIA ),G.Tippett ( FIR ),L.Watson ( VIX ),K.Moloney ( VIX ),A.Brazill ( MAG ),K.Pretorius ( SCL ),S.Sterling ( ADE )
Round 12,S.Wallace ( NSW ),N.Medhurst ( MAG ),L.Scherian ( SCL ),A.Brazill ( MAG ),G.Simpson ( FIR ),K.Pretorius ( SCL ),S.Sterling ( ADE )
Round 13,J. Fowler ( WCF ),G.Tippett ( FIR ),C.Nevins ( FIR ),A.Brazill ( MAG ),A.Parmenter ( GIA ),K.Pretorius ( SCL ),S.Sterling ( ADE )
Round 14,C.Bassett ( GIA ),G.Tippett ( FIR ),C.Nevins ( FIR ),J.Price ( GIA ),J.Anstiss ( WCF ),K.Pretorius ( SCL ),S.Sterling ( ADE )
