Recipient,Year,Nationality
Roberto Marinho,1987,Brazil
Everwijn van Steeden,1987,England
Emilio Azcárraga Milmo,1987,Mexico
Diego Lucero,1987,Uruguay
Pedro Ramírez Vázquez,1988,Mexico
Karl-Heinz Heimann,1992,Germany
Walter Lutz,1992,Switzerland
Henry Kissinger,1996,United States
Douglas Ivester,1996,United States
Udo Jürgens,1996,Germany
Fernand Sastre,1998,France
Nelson Mandela,1998,South Africa
Erwin Himmelseher,2000,Germany
Kofi Annan,2002,Ghana
Thaksin Shinawatra,2004,Thailand
Robert Louis-Dreyfus,2006,France
Otto Schily,2006,Germany
Rudi Michel,2006,Germany
Mohammed Yusuf,2008,Fiji
Alpha Oumar Konaré,2008,Mali
