Name,Clubs,Titles,Years,Best event ( titles )
Therese Alshammar,"Järfälla SS , SK Neptun , Helsingborgs SS",41,1991-2006,12 50 m backstroke ( 12 )
Anders Holmertz,"Motala SS , Spårvägens SF",33,1984-1997,14 400 m freestyle ( 14 )
Agneta Eriksson,Västerås SS,24,1980-1987,"07 100 m freestyle , 200 m freestyle , 100 m butterfly ( all 7 )"
Thomas Lejdström,Västerås SS,20,1979-1985,06 400 m IM ( 6 )
Johanna Sjöberg,"Helsingborgs SS , Södertälje SS , Spårvägens SF",20,1995-2005,09 100 m butterfly ( 9 )
Malin Nilsson,"Malmö KK , Simavdelningen 1902",17,1990-1995,"06 400 m freestyle , 800 m freestyle ( both 6 )"
Peter Berggren,Skärets SS,15,1980-1989,08 100 m breaststroke ( 8 )
Louise Karlsson,"Skärets SS , Helsingborgs SS",15,1990-1997,04 50 m breaststroke ( 4 )
Annelie Holmström,Stockholmspolisens IF,14,1980-1986,08 100 m breaststroke ( 8 )
Lars Frölander,"Borlänge SS , Sundsvalls SS , Linköpings ASS",14,1992-2006,07 100 m butterfly ( 7 )
Josefin Lillhage,"Simavdelningen 1902 , Göteborg Sim , Väsby SS",14,1996-2006,"06 200 m freestyle , 400 m freestyle ( both 6 )"
Anita Zarnowiecki,Simavdelningen 1902,13,1969-1975,04 400 m IM ( 4 )
Pär Arvidsson,Finspångs SK,13,1977-1983,"05 100 m butterfly , 200 m butterfly ( both 5 )"
Bengt Baron,Finspångs SK,13,1979-1984,06 100 m backstroke ( 6 )
Malin Svahnström,Väsby SS,13,1996-2005,05 200 m IM ( 5 )
