District,Capital,Population ( 2013 ),"Ethnic group ( s ) ( estimate , survey data is poor )"
Ab Band,Haji Khel,"26,700",Pashtun
Ajristan,Sangar,"28,000",Pashtun
Andar,Miray,"121,300",Pashtun
Deh Yak,Ramak,"47,500",Pashtun
Gelan,Janda,"56,200",Uzbek / Pashtun / Hazara
Ghazni,Ghazni,"157,600",Tajik / Hazara / Pashtun
Giro,Pana,"35,500",Pashtun
Jaghori,Sang-e-Masha,"300,000",Hazara
Jaghatū,Gulbawri,"32,265",Hazara / Pashtun
Khogyani ( Wali Muhammadi Shahid ),Khogyani,"19,600",Pashtun
Khwaja Umari,Kwaja Umari,"18,400",Hazara / Tajik / Pashtun
Malestan,Mir Adina,"79,800",Hazara
Muqur,Muqur,"48,900",Pashtun
Nawa,Nawa,"28,900",Pashtun
Nawur,Du Abi,"91,900",Hazara
Qarabagh,Qarabagh,"150,000",Pashtun / Hazara
Rashidan,Rashidan,"17,500",Pashtun
Waghaz,Waghaz,"37,500",Pashtun
Zana Khan,Dado,"12,200",Pashtun
