Lake,Location,Notes
Cosseys Reservoir,Auckland Region,Reservoir in Hunua Ranges
Lake Karaka,Auckland Region,On Te Korowai-o-Te-Tonga Peninsula
Lake Kawaupaku,Auckland Region,Dune lake southeast of Bethells Beach
Lake Kereta,Auckland Region,On Te Korowai-o-Te-Tonga Peninsula
Lake Kuwakatai,Auckland Region,On Te Korowai-o-Te-Tonga Peninsula
Lake Ngakaru,Auckland Region,On Te Korowai-o-Te-Tonga Peninsula
Lake Okaihau,Auckland Region,North of Muriwai Beach
Lake Paekawau,Auckland Region,North of Muriwai Beach
Lake Piripoua,Auckland Region,On Te Korowai-o-Te-Tonga Peninsula
Lake Pokorua,Auckland Region,On Awhitu Peninsula
Lake Poutoa,Auckland Region,On Te Korowai-o-Te-Tonga Peninsula
Lake Pupuke,Auckland Region,Crater lake in Takapuna
Lake Rototoa,Auckland Region,Dune lake on Te Korowai-o-Te-Tonga Peninsula
Lake Waiataru,Auckland Region,Dune lake south of Bethells Beach
Lake Wainamu,Auckland Region,Dune lake east of Bethells Beach
Lake Whatihua,Auckland Region,Dune lake east of Waiuku on Awhitu Peninsula
Lower Huia Reservoir,Auckland Region,Reservoir in southern Waitakere Ranges
Lower Nihotupu Reservoir,Auckland Region,Reservoir in southern Waitakere Ranges
Mangatangi Reservoir,Auckland Region,Reservoir in Hunua Ranges
Pehiakura Lakes,Auckland Region,On Awhitu Peninsula
