Pos,No,Driver,Constructor,Time,Gap
1,5,Michael Schumacher,Ferrari,1:14.548,
2,4,Heinz-Harald Frentzen,Williams - Renault,1:14.749,+0.201
3,11,Ralf Schumacher,Jordan - Peugeot,1:14.755,+0.207
4,3,Jacques Villeneuve,Williams - Renault,1:14.800,+0.252
5,6,Eddie Irvine,Ferrari,1:14.860,+0.312
6,14,Jarno Trulli,Prost - Mugen-Honda,1:14.957,+0.409
7,8,Alexander Wurz,Benetton - Renault,1:14.986,+0.438
8,7,Jean Alesi,Benetton - Renault,1:15.228,+0.680
9,10,David Coulthard,McLaren - Mercedes,1:15.270,+0.722
10,9,Mika Häkkinen,McLaren - Mercedes,1:15.339,+0.791
11,12,Giancarlo Fisichella,Jordan - Peugeot,1:15.453,+0.905
12,15,Shinji Nakano,Prost - Mugen-Honda,1:15.857,+1.309
13,22,Rubens Barrichello,Stewart - Ford,1:15.876,+1.328
14,16,Johnny Herbert,Sauber - Petronas,1:16.018,+1.470
15,23,Jan Magnussen,Stewart - Ford,1:16.149,+1.601
16,2,Pedro Diniz,Arrows - Yamaha,1:16.536,+1.988
17,1,Damon Hill,Arrows - Yamaha,1:16.729,+2.181
18,18,Jos Verstappen,Tyrrell - Ford,1:16.941,+2.393
19,19,Mika Salo,Tyrrell - Ford,1:17.256,+2.708
20,17,Norberto Fontana,Sauber - Petronas,1:17.538,+2.990
