City,Country,Airport,Begin,End
Singapore,Singapore,Changi Airport ( base ),5 May 2004,26 October 2014
Denpasar,Indonesia,Ngurah Rai Airport,27 January 2006,26 October 2014
Jakarta,Indonesia,Soekarno-Hatta International Airport,23 October 2005,26 October 2014
Medan,Indonesia,Kuala Namu International Airport,25 July 2013,26 October 2014
Surabaya,Indonesia,Juanda International Airport,23 October 2005,26 October 2014
Medan,Indonesia,Polonia International Airport,30 March 2008,2013
Bangkok,Thailand,Bangkok International Airport,5 May 2004,November 2005
Chengdu,China,Chengdu Shuangliu International Airport,20 April 2005,30 October 2005
Hong Kong,Hong Kong,Hong Kong International Airport,7 May 2004,23 October 2005
Perth,Australia,Perth Airport,1 December 2004,9 October 2005
Xiamen,China,Xiamen Gaoqi International Airport,25 April 2005,30 October 2005
