Year,Network,Games,Rating,Viewership
2017,"ABC , ESPN , TNT",5,2.6,5.10M
2016,"ABC , ESPN",5,2.3,4.56M
2015,"ABC , ESPN",5,3.0,5.55M
2014,"ABC , ESPN , TNT",5,2.8,5.22M
2013,"ABC , ESPN",5,2.5,4.46M
2012,"ABC , ESPN",5,3.1,5.50M
"2011 ( lockout shortened , opening day )","ABC , ESPN , TNT",5,3.5,6.31M
2010,"ABC , ESPN",5,3.2,6.00M
2009,"ABC , ESPN",5,2.4,4.17M
2008,"ABC , ESPN , TNT",5,2.5,4.43M
2007,"ABC , ESPN",3,2.6,4.29M
2006,ABC,1,3.5,5.47M
2005,ABC,2,4.4,7.12M
2004,"ABC , ESPN",2,5.2,8.92M
2003,"ABC , ESPN",3,3.0,4.96M
2002,"ABC , ESPN",3,2.8,4.52M
2001,NBC,2,3.2,4.99M
