#,Stadium,Capacity,City,Home Team
1,Bukit Jalil National Stadium,"87,411",Kuala Lumpur,"Malaysia national football team , 100,200 capacity only if they make it all seater"
2,Shah Alam Stadium,"69,372",Shah Alam,Selangor FA
3,Sultan Mizan Zainal Abidin Stadium,"50,000",Kuala Terengganu,Terengganu FA
4,Hang Jebat Stadium,"40,000",Melaka,Malacca FA
,Negeri Pulau Pinang Stadium,"40,000",Batu Kawan,Penang FA
,Sarawak Stadium,"40,000",Kuching,Sarawak FA
,Darulmakmur Stadium,"40,000",Kuantan,"Pahang FA , Shahzan Muda FC"
8,Likas Stadium,"35,000",Kota Kinabalu,Sabah FA
,Perak Stadium,"35,000",Ipoh,Perak FA
10,Darul Aman Stadium,"32,387",Alor Star,"Kedah FA , Kuala Muda Naza FC"
11,Sultan Mohammad IV Stadium,"30,000",Kota Bharu,Kelantan FA
,Langkawi Stadium,"30,000",Kedah,recreational facilities in the area of Langkawi
,Tuanku Abdul Rahman Stadium,"30,000",Negeri Sembilan,Negeri Sembilan FA
,Tan Sri Dato Hj Hassan Yunos Stadium,"30,000",Johor Bahru,"Johor FA , Johor Pasir Gudang"
15,Sarawak State Stadium,"26,000",Kuching,PB Sarawak
16,Sultan Ismail Nasiruddin Shah Stadium,"25,000",Terengganu,Some Terengganu FA and Kelantan FA Matches
,MBPJ Stadium,"25,000",Petaling Jaya,"UPB-MyTeam FC , MPPJ Selangor FC"
18,Utama Negeri Stadium,"20,000",Kangar,Perlis FA
,Selayang Stadium,"20,000",Selayang,PB Selangor
,City Stadium ( Penang ),"20,000",Pinang,Pinang state Football team
