Player,Class,Top League,Top Team
Tyler Nelson,2018,NBA G League,Greensboro Swarm
Amadou Sidibe,2017,HLA Lucentum,LEB Plata
Marcus Gilbert,2016,FC Porto,Liga Portuguesa de Basquetebol
Maurice Barrow,2014,Austrian Basketball League,Klosterneuburg Dukes
Derek Needham,2013,Lega Basket Serie A,Pallacanestro Reggiana
Sean Crawford,2012,Turkish Basketball First League,Pertevniyal S.K
Rakim Sanders,2012,Lega Basket Serie A,Pallacanestro Olimpia Milano
Ryan Olander,2012,Lithuanian Basketball League,BC Šiauliai
Jonathan Han,2011,Polish Basketball League,Śląsk Wrocław
Terrence Todd,2006,Premier League,UCC Demons
Deng Gai,2005,National Basketball Association,Philadelphia 76ers
Rob Thomson,2004,Liga Națională,CS Gaz Metan Mediaș
Ajou Deng,2003,British Basketball League,PAWS London Capitals
Darren Phillip,2000,Liga ACB,Unicaja Málaga
Drew Henderson,1993,National Basketball Association,Boston Celtics
Troy Bradford,1990,Spanish Basketball League,UPCT Basket Catagena
A. J. Wynder,1987,National Basketball Association,Boston Celtics
Joe DeSantis,1979,Lega Basket Serie A,Reyer Venezia Mestre
Art Kenny,1968,Lega Basket Serie A,Olimpia Milano
