Year,Title,Role
2001,Happy Campers,Pixel
2001,Blow,Older Kristina
2001,Pearl Harbor,Nurse Betty Bayer
2002,Four Faces of God,Sam
2002,Slackers,Angela Patton
2002,Lone Star State of Mind,Baby
2003,Bulletproof Monk,Jade
2004,White Chicks,Heather Vandergeld
2005,Pretty Persuasion,Kathy Joyce
2005,Sin City,Goldie and Wendy
2005,Two for the Money,Alexandria
2005,Cheaper by the Dozen 2,Anne Murtaugh
2006,True True Lie,Nathalie
2006,The Alibi,Heather
2006,The Tripper,Samantha
2007,They Wait,Sarah
2008,The Spirit,Lorelei Rox
2009,My Bloody Valentine 3D,Sarah Palmer
2009,Fanboys,Amber
2010,Waiting for Forever,Susan Donner
