US,CAN,Single,Artist
1,1,Ai n't Goin ' Down ( 'Til the Sun Comes Up ),Garth Brooks
2,1,Ai n't That Lonely Yet,Dwight Yoakam
1,1,Alibis,Tracy Lawrence
3,2,All These Years,Sawyer Brown
1,2,Almost Goodbye,Mark Chesnutt
5,4,Alright Already,Larry Stewart
1,2,American Honky-Tonk Bar Association,Garth Brooks
10,17,Anywhere but Here,Sammy Kershaw
2,1,A Bad Goodbye,Clint Black with Wynonna
21,13,Beer and Bones,John Michael Montgomery
1,2,Blame It on Your Heart,Patty Loveless
19,39,Boom ! It Was Over,Robert Ellis Orrall
6,5,Born to Love You,Mark Collie
16,24,The Bug,Mary Chapin Carpenter
18,16,Cadillac Ranch,Chris LeDoux
1,1,Can I Trust You with My Heart,Travis Tritt
1,2,Ca n't Break It to My Heart,Tracy Lawrence
1,1,Chattahoochee,Alan Jackson
11,28,"Cleopatra , Queen of Denial",Pam Tillis
46,10,Cowboy Boogie,Randy Travis
