Club,City,Stadium,Capacity,2015-16 season
Caravaggio,Caravaggio,Comunale,"3,000",17th in Serie D Girone B
Cavenago Fanfulla,Lodi,Dossenina,"2,184",3rd in Eccellenza Lombardy Girone B
Ciliverghe Mazzano,Mazzano,Sterilgarda,,5th in Serie D Girone B
Ciserano,Ciserano,Comunale C.Rossoni,,9th in Serie D Girone B
Darfo Boario,Darfo Boario Terme,Comunale,"1,200",1st in Eccellenza Lombardy Girone C
Dro,Dro,Comunale Oltra,500,10th in Serie D Girone C
Grumellese,Grumello del Monte,Luciano Libico,,12th in Serie D Girone B
Lecco,Lecco,Rigamonti-Ceppi,"4,977",2nd in Serie D Girone B
Levico,Levico Terme,Comunale,,11th in Serie D Girone C
Monza,Monza,Brianteo,"18,568",10th in Serie D Girone B
Olginatese,Olginate,Comunale,"1,000",6th in Serie D Girone B
Pergolettese,Crema,Giuseppe Voltini,"4,100",14th in Serie D Girone B
Pontisola,"Ponte San Pietro , Terno d'Isola & Chignolo d'Isola",Matteo Legler,"2,000",4th in Serie D Girone B
Pro Patria,Busto Arsizio,Carlo Speroni,"4,627",18th in Lega Pro Girone A
Scanzorosciate,Scanzorosciate,Comunale,,1st in Eccellenza Lombardy Girone B
Seregno,Seregno,Ferruccio,"3,700",3rd in Serie D Girone B
Virtus Bergamo,Alzano & Seriate,Carillo Pesenti Pigna,"1,900",16th in Serie D Girone B
Virtus Bolzano,Bolzano,Druso,"4,040",1st in Eccellenza Trentino
