School,Titles,Years
Cal Poly Pomona,5,"1982 , 1985 , 1986 , 2001 , 2002"
North Dakota State,5,"1991 , 1993 , 1994 , 1995 , 1996"
Delta State,3,"1989 , 1990 , 1992"
North Dakota,3,"1997 , 1998 , 1999"
Central Missouri,2,"1984 , 2018"
California ( PA ),2,"2004 , 2015"
Northern Kentucky,2,"2000 , 2008"
Ashland,2,"2013 , 2017"
Lubbock Christian,2,"2016 , 2019"
Bentley,1,2014
Clayton State,1,2011
Emporia State,1,2010
Grand Valley State,1,2006
Hampton,1,1988
Minnesota State,1,2009
New Haven,1,1988
Shaw,1,2012
South Dakota State,1,2003
Southern Connecticut State,1,2007
Virginia Union,1,1983
