Club,Visa 1,Visa 2,Visa 3,Visa 4
Felda United,Mickaël Antoine-Curier,Eddy Viator,None,None
Johor FC,Arthuro Henrique Bernhardt,Fernando de Abreu Ferreira,None,None
Kedah,Abdulfatah Safi,Vedran Gerc,None,None
Kelantan,Obinna Nwaneri,Mohammed Ghaddar,Mijo Dadic,Keita Mandjou
Kuala Lumpur,Zakaria Charara ( on loan from Kelantan ),Emmanuel Okine ( on loan from Kelantan ),None,None
Negeri Sembilan,Jean-Emmanuel Effa Owona,Marian Farbák,None,None
T-Team,Bojan Petrić,Marco Tulio,None,None
Perak,Michal Kubala,Albert Dominique Ebossé Bodjongo Dika,None,None
PKNS,Michaël Niçoise,Helmi Loussaief,None,None
Sabah,Brendan Gan,Hendrik Helmke,None,None
Sarawak,Guy Bwele,Joël Epalle,None,None
Selangor,Ramez Dayoub,Boško Balaban,None,None
LionsXII,None,None,None,None
Terengganu,Erison da Silva Santos,Francis Doe,,
