Medal,Name,Sport,Event,Date
Gold,Svetlana Romashina,Synchronized swimming,Solo technical routine,20 July
Gold,Svetlana Romashina Svetlana Kolesnichenko,Synchronized swimming,Duet technical routine,21 July
Gold,Vlada Chigireva Mikhaela Kalancha Daria Korobova Anisya Olkhova Aleksandra Patskevich Elena Prokofyeva Alla Shishkina Maria Shurochkina Angelika Timanina Aleksandra Zueva,Synchronized swimming,Team technical routine,22 July
Gold,Svetlana Romashina,Synchronized swimming,Solo free routine,24 July
Gold,Svetlana Romashina Svetlana Kolesnichenko,Synchronized swimming,Duet free routine,25 July
Gold,Vlada Chigireva Svetlana Kolesnichenko Daria Korobova Anisya Olkhova Aleksandra Patskevich Elena Prokofyeva Alla Shishkina Maria Shurochkina Angelika Timanina Aleksandra Zueva,Synchronized swimming,Team free routine,26 July
Gold,Vlada Chigireva Mikhaela Kalancha Daria Korobova Anisya Olkhova Alexandra Patskevich Elena Prokofyeva Alla Shishkina Maria Shurochkina Angelika Timanina Alexandra Zueva,Synchronized swimming,Free routine combination,27 July
Gold,Yuliya Yefimova,Swimming,Women 's 200 m breaststroke,2 August
Gold,Yuliya Yefimova,Swimming,Women 's 50 m breaststroke,4 August
Silver,Artem Chesakov Victor Minibaev,Diving,Men 's 10 m synchronized platform,21 July
Silver,Evgeny Kuznetsov Ilya Zakharov,Diving,Men 's 3 m synchronized springboard,23 July
Silver,Evgeny Kuznetsov,Diving,Men 's 3 m springboard,26 July
Silver,Yuliya Yefimova,Swimming,Women 's 100 m breaststroke,30 July
Silver,Danila Izotov Nikita Lobintsev Artem Lobuzov Alexander Sukhorukov,Swimming,Men 's 4 × 200 m freestyle relay,2 August
Silver,Vladimir Morozov,Swimming,Men 's 50 m freestyle,3 August
Bronze,Evgeny Drattsev,Open water swimming,Men 's 25 km,27 July
Bronze,Sergey Fesikov Andrey Grechin Danila Izotov Yevgeny Lagunov * Nikita Lobintsev Vladimir Morozov Alexander Sukhorukov *,Swimming,Men 's 4 × 100 m freestyle relay,28 July
Bronze,Danila Izotov,Swimming,Men 's 200 m freestyle,30 July
Bronze,Anna Belousova * Svetlana Chimrova Veronika Popova Dariya Ustinova Yuliya Yefimova,Swimming,Women 's 4 × 100 m medley relay,4 August
