Medal,Name,Sport,Event,Date
Gold,Paddy Barnes,Boxing,Light flyweight,October 13
Gold,Patrick Gallagher,Boxing,Welterweight,October 13
Gold,Eamonn O'Kane,Boxing,Middleweight,October 13
Silver,Wendy Houvenaghel,Cycling,Women 's Individual Pursuit,October 8
Silver,Steven Ward,Boxing,Heavyweight,October 13
Silver,Thomas McCarthy,Boxing,Light heavyweight,October 13
Bronze,Sean Downey Martyn Irvine Philip Lavery David McCann,Cycling,Men 's Team Pursuit,October 7
Bronze,Matthew Hall,Shooting,Men 's 50 metre rifle prone singles,October 13
Bronze,Gary Kelly,Lawn Bowls,Men 's Singles,October 13
Bronze,David Calvert,Shooting,Full Bore Rifle Open singles,October 13
