Local authority,River,OS Grid reference,Islands
Aberdeenshire,River Deveron,NJ683625,Scury Islands
Aberdeenshire,River Deveron,NJ637471,Logg Island
Aberdeenshire,River Ythan,NJ998274,Inch Geck ( b )
Argyll and Bute,River Shira,NN139153,Eilean an Eagail
Clackmannanshire,River Forth,NS869918,"Alloa Inch ( b ) , Tullibody Inch ( b )"
Dumfries and Galloway,River Annan,NY191692,Rabbit Island
Dumfries and Galloway,River Cree,NX383700,Cut Island
Dumfries and Galloway,River Dee,NX740623,Threave Island
Highland,River Beauly,NH468416,Eilean Aigas
Highland,Black Water,NH438590,"Eilean an Daraich , Contin Island"
Highland,River Conon,NH533546,"Dunglass Island ( b ) , Moy Island"
Highland,River Oykel,NC398001,Eilean Thùrnaig
Highland,River Ness,NH663437,Ness Islands
Highland,River Snizort,NG416485,Island of St Columba
Highland,River Spey,NN599937,Eilean Dubh
Highland,River Spey,NN504946,Eilean Longart
Highland,River Spey,NN551937,Eilean Mhic Rath
Moray,River Spey,NJ287450,Heathery Isle
Moray,River Spey,NJ201415,Island Roary
Moray,River Spey,NJ186413,Stony Island
