Name,Location,Manufacturer,Trains,Opened
Booster Bike,Toverland,Vekoma,Motorbikes,2004
Velocity,Flamingo Land,Vekoma,Motorbikes,2005
Motorbike Launch Coaster,Chimelong Paradise,Vekoma,Motorbikes,2006
Mick Doohan 's Motocoaster,Dreamworld,Intamin,Motorbikes,2007
Jet Rescue,Sea World ( Australia ),Intamin,Jet Skis,2008
Moto Coaster,Darien Lake,Zamperla,Motorbikes,2008
Pony Express,Knott 's Berry Farm,Zamperla,Horses,2008
Moto Coaster,Jinjiang Action Park,Zamperla,Motorbikes,2009
Moto Bala,Mundo Petapa,Zamperla,Motorbikes,2010
MotoGee,Särkänniemi Amusement Park,Zamperla,Motorbikes,2010
Dinosaur Mountains,China Dinosaurs Park,Zamperla,Pterodactyls,2010
Steeplechase,Scream Zone Coney Island,Zamperla,Horses,2011
Juvelen,Djurs Sommerland,Intamin,All-terrain vehicles,2013
TRON Lightcycle Power Run,Shanghai Disneyland,Vekoma,Light cycles,2016
Wave Breaker : The Rescue Coaster,SeaWorld San Antonio,Intamin,Jet Skis,2017
Hagrid 's Magical Creatures Motorbike Adventure,Universal 's Islands of Adventure,Intamin,Motorbikes,2019
TRON Lightcycle Power Run,Magic Kingdom,Vekoma,Light cycles,2021
