School,Location,Years,Founded,Website
Australian Performing Arts Grammar School,Glebe,7-12,2005,website
Campbelltown Performing Arts High School,Campbelltown,7-12,1954,website
Conservatorium High School,Sydney,7-12,1918,website
Granville South High School,Guildford,7-12,?,website
Hunter School of the Performing Arts,Broadmeadow,3-12,1998,website
Northmead Creative and Performing Arts High School,Northmead,7-12,?,website
Ku-ring-gai High School,North Turramurra,7-12,1965,website
The McDonald College,North Strathfield,Prep-12,1984,website
Nepean Creative and Performing Arts High School,Penrith,7-12,1963,website
Newtown High School of the Performing Arts,Newtown,7-12,1990,website
Brent Street Academy,Moore Park,9-12,2004,website
Village Nation College,Alexandria,11-12,2012,website
Wollongong High School of the Performing Arts,Fairy Meadow,7-12,1916,website
