Player,Position,College
Don Barksdale,F/C,UCLA
Charles B . Black,F/C,Kansas
Jake Bornheimer,F/C,Muhlenberg
Carl Braun,G,Colgate
Fran Curran,G,Notre Dame
Jack Dwan,F/G,Loyola ( IL )
Hoot Gibson,F/C,Creighton
Ralph Hamilton,G/F,Indiana
Doug Holcomb,F,Wisconsin
Walt Kirk,G,Illinois
Ray Kuka,F,Montana State
Fred Paine,F,Westminster ( PA )
Les Pugh,F/C,Ohio State
Ray Ramsey,G/F,Bradley
Lee Robbins,F,Colorado
Gene Rock,G,USC
Jack Rocker,F/C,California
Jack Smiley,F/G,Illinois
Jim Springer,C,Canterbury
