Pos,No,Driver,Car,Qual,Gap
1,6,Max Stewart,Lola T330 / Chevrolet 5.0L V8,1:05.2,-
2,,Warwick Brown,Lola T332 / Chevrolet 5.0L V8,1:05.3,+0.1
3,5,Kevin Bartlett,Lola T332 / Chevrolet 5.0L V8,1:05.9,+0.7
4,1,Lella Lombardi,Matich A51 / Repco Holden 5.0L V8,1:07.0,+1.8
5,4,John McCormack,Elfin MR5 / Repco Holden 5.0L V8,1:07.5,+2.3
6,14,Graeme Lawrence,Lola T332 / Chevrolet 5.0L V8,1:08.0,+2.8
7,12,Garrie Cooper,Elfin MR5 / Repco Holden 5.0L V8,1:09.2,+4.0
8,,Jon Davison,Matich A50 / Repco Holden 5.0L V8,1:09.2,+4.0
9,7,John Leffler,Bowin P8 / Hart 1.6L I4,1:09.7,+4.5
10,,John Goss,Matich A53 / Repco Holden 5.0L V8,1:11.9,+6.7
11,,Ken Shirvington,March 732 / Hart 1.6L I4,1:14.4,+9.2
