Result,W-L,Date,Tournament,Tier,Surface,Partner,Opponents,Score
Win,1-0,Oct 2012,"Vienna Open , Austria",250 Series,Hard ( i ),Martin Emmrich,Julian Knowle Filip Polášek,"6−4 , 3−6 , [ 10−4 ]"
Loss,1-1,Jan 2013,"Chennai Open , India",250 Series,Hard,Martin Emmrich,Benoît Paire Stanislas Wawrinka,"2−6 , 1−6"
Win,2-1,May 2013,"Düsseldorf Open , Germany",250 Series,Clay,Martin Emmrich,Treat Conrad Huey Dominic Inglot,"7-5 , 6-2"
Loss,2-2,Jun 2013,"Rosmalen Championships , Netherlands",250 Series,Grass,Martin Emmrich,Max Mirnyi Horia Tecău,"3-6 , 6-7"
Win,3-2,Jun 2014,"Halle Open , Germany",250 Series,Grass,Julian Knowle,Marco Chiudinelli Roger Federer,"1-6 , 7-5 , [ 12-10 ]"
Win,4-2,Jul 2014,"Swiss Open Gstaad , Switzerland",250 Series,Clay,Robin Haase,Rameez Junaid Michal Mertiňák,"6-3 , 6-4"
Loss,4-3,Oct 2014,"Vienna Open , Austria",250 Series,Hard ( i ),Julian Knowle,Jürgen Melzer Philipp Petzschner,"6-7 , 6-4 , [ 7-10 ]"
Loss,4-4,Aug 2016,"Winston-Salem Open , United States",250 Series,Hard,Leander Paes,Guillermo García-López Henri Kontinen,"6-4 , 6-7 , [ 8-10 ]"
Loss,4-5,Sep 2016,"St. Petersburg Open , Russia",250 Series,Hard ( i ),Leander Paes,Dominic Inglot Henri Kontinen,"6-4 , 3-6 , [ 10-12 ]"
Loss,4-6,Apr 2018,"US Clay Court Championships , United States",250 Series,Clay,Antonio Šančić,Max Mirnyi Philipp Oswald,"7-6 , 4-6 , [ 9-11 ]"
