Rank,Athlete,Nationality,Time
1,Dave Bedford,England,38:42.8
2,Trevor Wright,England,39:05.2
3,Eddie Gray,New Zealand,39:11.6
4,Javier Álvarez,Spain,39:15.3
5,Peter Standing,England,39:19.4
6,Malcolm Thomas,Wales,39:22.8
7,Noel Tijou,France,39:29.3
8,Mariano Haro,Spain,39:38.5
9,Ian Stewart,Scotland,39:41.2
10,Rod Dixon,New Zealand,39:43.5
11,Pekka Päivärinta,Finland,39:44.7
12,Gaston Roelants,Belgium,39:45.3
13,Lucien Rault,France,39:50.2
14,René Goris,Belgium,39:54.1
15,Tony Simmons,England,39:55.2
16,Frank Briscoe,England,39:56.3
17,Andy Holden,England,39:57.2
18,Mike Beevor,England,39:58.3
19,Jan Wawrzuta,Poland,40:01.5
20,Tony Ashton,Wales,40:02.3
