Line name,Start and end points,Maximum speed,Upgrade,Opening,Length
Appenweier-Strasbourg railway,Kehl - Appenweier,200 km/h,2010-2020,1861,13.5 km ( high-speed ) ; 22 ( total )
Halle-Bebra railway,Bebra - Halle,200 km/h,2014-2019,1846-1849,96.13 km ( high-speed ) ; 210 km ( total )
Berlin-Halle railway,Berlin - Halle,200 km/h,1992-2006,1841-1859,161.6 km ( new line in parallel at Leipzig-Halle section )
Hamm-Warburg railway,Hamm - Warburg,200 km/h,1993-1994,1850-1853,8.4 km ( high-speed ) ; 131 km ( total )
Berlin-Hamburg Railway,Berlin - Hamburg,230 km/h,1997-2004 ( 160 km/h operations in the 1930s ),1846,284.1 km
Wanne-Eickel-Hamburg railway,Wanne-Eickel - Hamburg,200 km/h,1978-1990,1870-1874,355 km
Cologne-Aachen high-speed railway,Köln - Aachen,250 km/h,2002,1841,70 km
Cologne-Duisburg railway,Köln - Duisburg,200 km/h,1991,1845-1846,64 km
Dortmund-Hamm railway,Dortmund - Hamm,200 km/h,1986,1845-1847,31 km ; of which 20 km is high-speed
Hanover-Hamburg railway,Hanover - Hamburg,200 km/h,1984-1987,1846-1847,181.2 km
Hamm-Minden railway,Hamm - Minden,200 km/h,1980,1847,112 km
Hanover-Minden railway,Hanover - Minden,200 km/h,1984-1985,1847,64.4 km
Leipzig-Dresden railway,Leipzig - Dresden,200 km/h,1994-2014,1837-1839,117 km
Nuremberg-Würzburg Railway,Nuremberg - Würzburg,200 km/h,1992-1999,1854-1865,102.2 km
Rhine Railway Mannheim-Karlsruhe,Mannheim - Karlsruhe,250 km/h,1987,1840-1855,61 km ( upgraded southern section 200 km/h )
Rhine Railway Karlsruhe-Rastatt,Karlsruhe - Rastatt Süd,250 km/h,2024,1840-1855,~30 km ( under construction )
Rhine Railway Rastatt-Offenburg,Rastatt Süd- Offenburg,250 km/h,2001,1840-1855,~50 km
Rhine Railway Offenburg-Basel,Offenburg - Basel,250 km/h,unknown,1840-1855,~120 km
Rosenheim-Salzburg railway,Rosenheim - Salzburg,200 km/h,to be upgraded before 2030,1828-1838,88.6 km
Mannheim-Frankfurt railway,Mannheim - Frankfurt,200 km/h,1985-1999,1869-1879,74.8 km
