Rank,Country,Team,Time
1,Kenya,Bernard Kipyego Wilson Kipsang Kiprotich Wilson Kwambai Chebet,3:01:06
2,Eritrea,Zersenay Tadese Samuel Tsegay Adhanom Abraha,3:02:39
3,Ethiopia,Tilahun Regassa Dereje Tesfaye Abebe Negewo,3:06:42
4,United States,Dathan Ritzenhein Andrew Carlson James Carney,3:06:50
5,Tanzania,Fabiano Joseph Marco Joseph Shamba Gitimi,3:08:29
6,South Africa,Stephen Mokoka Olebogeng Masire Mbongeni Ngxazozo,3:08:36
7,Japan,Yukihiro Kitaoka Ryosuke Fukuyama Yoshinori Oda,3:08:59
8,France,Fouad Larhiouch James Theuri Simon Munyutu,3:09:23
9,Uganda,Martin Toroitich Moses Aliwa Jackson Kiprop,3:09:32
10,Morocco,Rachid Kisri Mourad Marofit Ahmed Baday,3:10:15
11,Italy,Daniele Meucci Giovanni Ruggiero Denis Curzi,3:11:58
12,Rwanda,Sylvain Rukundo Jean Baptiste Simukeka Gervais Hakizimana,3:12:05
13,Mexico,Juan Carlos Romero Arturo Regules Sergio Reyes,3:12:08
14,Great Britain,Andrew Lemoncello Mark Miles Phil Wicks,3:12:42
15,Brazil,Marilson dos Santos Giomar da Silva João de Lima,3:14:15
16,Peru,John Cusi Jaime Caldua Constantino León,3:16:17
17,Botswana,Keenetse Moswasi Godiraone Nthompe Ndabili Bashingili,3:18:14
18,Spain,Miguel Ángel Gamonal Pablo Villalobos Fernando Rey,3:21:22
