,Landmark name,Date designated,Location,County,Description
1,USS Alabama ( battleship ),"January 14 , 1986 ( # 86000083 )",Mobile 30°40′49″N 88°00′57″W / 30.6801903657°N 88.015810359°W / 30.6801903657 ; -88.015810359 ( USS Alabama ( battleship ) ),Mobile,"One of two surviving South Dakota -class battleships , Alabama was commissioned in 1942 and spent forty months in active service in World War II 's Pacific theater , earning nine battle stars over twenty-six engagements with the Japanese"
2,Apalachicola Fort,"July 19 , 1964 ( # 66000931 )",Holy Trinity 32°10′17″N 85°07′49″W / 32.17134°N 85.13023°W / 32.17134 ; -85.13023 ( Apalachicola Fort ),Russell,"Spain established this wattle and daub blockhouse on the Chattahoochee River in 1690 , attempting to maintain influence among the Lower Creek Indians . It was used for one year , and destroyed by the Spanish when they abandoned it"
3,Barton Hall,"November 7 , 1973 ( # 73000337 )",Cherokee 34°45′03″N 88°00′12″W / 34.7507218719°N 88.0033412413°W / 34.7507218719 ; -88.0033412413 ( Barton Hall ),Colbert,"This structure , built in 1840 , is described by the National Park Service as an unusually sophisticated Greek Revival style plantation house . The interior contains a stairway that ascends in a series of double flights and bridge-like landings to an observatory on the rooftop that offers views of the plantation"
4,"Bethel Baptist Church , Parsonage , and Guard House","April 5 , 2005 ( # 05000455 )","Birmingham 33°33′07″N 86°48′07″W / 33.551806°N 86.802028°W / 33.551806 ; -86.802028 ( Bethel Baptist Church , Parsonage , and Guard House )",Jefferson,"This church served as the headquarters for the Alabama Christian Movement for Human Rights , an organization active in the Civil Rights Movement , from 1956 to 1961 . It focused on legal and nonviolent direct action against segregated accommodations , transportation , schools and employment discrimination"
5,Bottle Creek Site,"April 19 , 1994 ( # 74000398 )",Stockton 30°59′44″N 87°56′16″W / 30.995555555555555°N 87.9376388888889°W / 30.995555555555555 ; -87.9376388888889 ( Bottle Creek Site ),Baldwin,"This archaeological site contains eighteen mounds from the Mississippian cultural period . Located on Mound Island within the Mobile - Tensaw river delta , the site was occupied between AD 1250 and 1550 . Scholars believe that it functioned as a social , political , religious , and trade center for the Mobile Delta region and the central Gulf Coast"
6,Brown Chapel A.M.E. Church,"December 12 , 1997 ( # 82002009 )",Selma 32°24′43″N 87°00′58″W / 32.411869°N 87.016053°W / 32.411869 ; -87.016053 ( Brown Chapel A.M.E. Church ),Dallas,"This church was a starting point for the Selma to Montgomery marches in 1965 , and it played a major role in the events that led to the adoption of the Voting Rights Act of 1965 . The national reaction to Selma 's Bloody Sunday March is widely credited with making the passage of the Voting Rights Act politically viable in the United States Congress"
7,City Hall,"November 7 , 1973 ( # 69000034 )",Mobile 30°41′24″N 88°02′24″W / 30.689979°N 88.040106°W / 30.689979 ; -88.040106 ( City Hall ),Mobile,The Italianate style Old City Hall and Southern Market in Mobile was completed in 1857 . This building exemplifies the 19th-century American trend toward structures that served multiple civic functions
8,Henry D. Clayton House,"December 8 , 1976 ( # 76002259 )",Clayton 31°51′56″N 85°27′09″W / 31.86561111111111°N 85.45236111111112°W / 31.86561111111111 ; -85.45236111111112 ( Henry D. Clayton House ),Barbour,"This was the home of antitrust legislator Henry De Lamar Clayton , Jr . He was the author of the Clayton Antitrust Act , an act that prohibited particular types of conduct that were deemed to not be in the best interest of a competitive market . He was appointed as a Federal District Judge in 1914 , and became recognized as an advocate for judicial reform"
9,J.L.M . Curry Home,"December 21 , 1965 ( # 66000154 )",Talladega 33°27′21″N 86°02′40″W / 33.45583333333334°N 86.04444444444444°W / 33.45583333333334 ; -86.04444444444444 ( J.L.M . Curry Home ),Talladega,This was the home of educator Jabez Lamar Monroe Curry . He played a large role in the expansion and improvement of the public school system and the establishment of training schools for teachers throughout the South
10,Dexter Avenue Baptist Church,"May 30 , 1974 ( # 74000431 )",Montgomery 32°22′39″N 86°18′11″W / 32.377473°N 86.303146°W / 32.377473 ; -86.303146 ( Dexter Avenue Baptist Church ),Montgomery,"Martin Luther King , Jr. was the pastor of this church from 1954 to 1960 . The Montgomery Improvement Association , which was headed by Dr. King , had its headquarters in the church and organized the Montgomery Bus Boycott from this site in 1955"
