Year,Country,Main title ( Alternative titles ),Original title ( Original script ),Director,"Battles , campaigns , events depicted"
2005,Italy,Cephalonia ( TV miniseries ),Cefalonia,Riccardo Milani,Massacre of the Acqui Division in Cephalonia
2005,United States,Everything Is Illuminated,,Liev Schreiber,Jewish American searches for woman who saved his grandfather during the Ukrainian Holocaust
2005,Lithuania,Forest of the Gods,Dievų miškas,Algimantas Puipa,Lithuanian artist/intellectual imprisoned by both Nazis and Soviets
2005,Russia,Freelance Assignment 2,Nesluzhebnoe zadanie 2 : Vzryv na rassvete ( Неслужебное задание-2 : Взрыв на рассвете ),Vitaly Vorobyev,Postwar commandos in wartime minefield hope to be saved by soldier who was in field in 1943
2005,United States Australia,The Great Raid,,John Dahl,Japanese occupation of Philippines and Raid at Cabanatuan
2005,Italy,The Heart in the Pit ( TV miniseries ),Il cuore nel pozzo,Alberto Negrin,Foibe massacres
2005,United States,The Last Days,,Eric Bryan,US Airborne unit processing German POWs encounters Wehrmacht unit unaware of Germany 's surrender
2005,United Kingdom,The Last Drop,,David Teague,Operation Market Garden and secret mission to recover Nazi gold
2005,Singapore Japan,Men in White,1942,Kelvin Tong,Comedy horror . Japanese Sixth Army and war photographer in Malayan jungle
2005,Russia,"Moscow Says , Please Note ( TV miniseries )","Vnimaniye , govorit Moskva ( Внимание , говорит Москва )",Aleksandr Surin,Female Russian snipers
2005,Finland Sweden,Mother of Mine,Äideistä parhain ( in Finnish ) Den bästa av mödrar ( in Swedish ),Klaus Härö,"Based on Heikki Hietamies novel . Evacuation of 70,000+ Finnish children to neutral Sweden"
2005,Italy,Mussolini 's Daughter ( TV miniseries ),Edda,Giorgio Capitani,Edda Mussolini
2005,India,Netaji Subhas Chandra Bose : The Forgotten Hero ( Bose : The Forgotten Hero ),Netaji Subhas Chandra Bose : ek bhoola hua naayak ( नेताजी सुभाषचन्द्र बोस : एक भूला हुआ नायक ),Shyam Benegal,Subhas Chandra Bose and the Indian National Army
2005,United States,Only the Brave,,Lane Nishikawa,Rescue of Lost Battalion in France by US 442nd Regimental Combat Team
2005,China,On the Mountain of Tai Hang,Tài Háng shān shàng ( 太行山上 ),"Chen Jian , Shen Dong , Wei Lian",Campaigns of Eighth Route Army in China
2005,Finland,Promise,Lupaus ( Uskolliset - Suomen lotat / Lotta ),Ilkka Vanne,Finnish women 's Lotta Svärd during war
2005,Germany,Sophie Scholl - The Final Days,Sophie Scholl - Die letzten Tage,Marc Rothemund,"Final days and trial of Sophie Scholl , member of White Rose Resistance"
2005,Germany,Speer and Hitler : The Devil 's Architect ( TV miniseries ),Speer und Er,Heinrich Breloer,Docudrama . Hitler 's minister Albert Speer
2005,Taiwan,The Strait Story,Fu shih kuang ying ( 南方紀事之浮世光影 ),Huang Yu-shan,"Sinking of Japanese passenger liner Takachiho Maru by USS Kingfish , 1943"
2005,Russia France Italy Switzerland Japan,The Sun,Solntse ( Солнце ) ( in Russian ),Aleksandr Sokurov,Emperor Hirohito 's life during the first days of Allied occupation
