Titles,Athlete,Events
38,Agnese Maffeis,"Shot put ( 5 ) , Discus ( 14 ) , Shot put indoor ( 9 ) , Discus winter ( 10 )"
30,Marisa Masullo,"100 m ( 11 ) , 200 m ( 10 ) , 60 m indoor ( 6 ) , 200 m indoor ( 3 )"
26,Donata Govoni,"100 m ( 7 ) , 200 m ( 5 ) , 400 m ( 7 ) , 800 m ( 2 ) , cross country ( 1 ) , 400 m indoor ( 2 ) , 800 m indoor ( 2 )"
26,Chiara Rosa,"Shot put ( 15 ) , Shot put indoor ( 11 )"
25,Sara Simeoni,"High jump ( 14 ) , Pentathlon ( 1 ) , High jump indoor ( 10 )"
23,Gabriella Dorio,"800 m ( 7 ) , 1500 m ( 10 ) , 800 m indoor ( 2 ) , 1500 m indoor ( 2 ) , cross country ( 2 )"
22,Agnese Possamai,"800 m ( 2 ) , 3000 m ( 5 ) , 1500 m indoor ( 5 ) , 3000 m indoor ( 3 ) , cross country ( 7 )"
20,Claudia Coslovich,"Javelin ( 13 ) , Javelin winter ( 7 )"
20,Amelia Piccinini,"Shot put ( 12 ) , Long jump ( 4 ) , Pentathlon ( 4 )"
19,Erica Rossi,"400 m ( 11 ) , 800 m ( 1 ) , 200 m indoor ( 2 ) , 400 m indoor ( 6 )"
19,Paola Pigni,"400 m ( 2 ) , 800 m ( 6 ) , 1500 m ( 4 ) , 3000 m ( 1 ) , cross country ( 6 )"
19,Claudia Testoni,"60 m ( 1 ) , 80 m ( 1 ) , 100 m ( 3 ) , 200 m ( 2 ) , 80 m hs ( 5 ) , Long jump ( 7 )"
18,Giuseppina Leone,"100 m ( 9 ) , 200 m ( 9 )"
18,Magalì Vettorazzo,"100 m hs ( 7 ) , lung jump ( 4 ) pentathlon ( 7 )"
