Stock symbol,Company,Notes,External link
DCT,Datacentrix Holdings Limited,information technology and business services,datacentrix.co.za
,DataPro Group Limited,"corporate internet service provider , information technology , telecommunications",datapro.co.za
DTC,Datatec Limited,"information technology , networking , IT infrastructure , IT services",datatec.co.za
DEC,Decillion Limited,"financial services involving stock markets and risk management ; has operations in South Africa , London , Switzerland , New Zealand",
DEL,Delta Electrical Industries Limited,"fans , light emitting diodes ( LEDs ) , high-tech lighting",
DMR,Diamond Core Resources Limited,diamond exploration and mining in Northern Cape Province,
DGC,Digicore Holdings Limited,"vehicle tracking technology , vehicle security",digicore.com
DIDDT,Dimension Data Holdings,information technology business services contractor,dimensiondata.com
DSY,Discovery Holdings Limited,insurance,discovery.co.za
DST,Distell Group Limited,alcoholic beverages,distell.co.za
DAW,Distribution and Warehousing Network Limited,"manufacture of construction materials , hardware , sanitaryware , kitchen fixtures",dawnltd.co.za
DIV,Diversified Property Income Fund Limited,financial services,
DON,The Don Group Limited,"hotels , the Don Suite Hotel Group",don.co.za
DLV,Dorbyl Limited,"metallurgy , auto parts , transmissions , wheels , gears , forging",dorbyl.co.za
DRDD,DRDGOLD Limited,gold ; mining and trading,drd.co.za
,Dynamic Cables RSA Limited,computer cables ; telecommunications goods,
