Rank,Name,Nation,TFP,SP,FS
1,Oksana Kazakova / Artur Dmitriev,Russia,1.5,1,1
2,Marina Khaltourina / Andrei Krioukov,Kazakhstan,3.5,3,2
3,Sarah Abitbol / Stéphane Bernadis,France,4.0,4,2
4,Dorota Zagórska / Mariusz Siudek,Poland,6.5,5,4
5,Kristy Sargeant / Kris Wirtz,Canada,7.0,2,6
6,Michelle Menzies / Jean-Michel Bombardier,Canada,8.0,6,5
7,Shelby Lyons / Brian Wells,United States,10.5,7,7
8,Danielle McGrath / Stephen Carr,Australia,12.0,8,8
9,Samantha Marchant / Chad Hawse,Canada,13.5,9,9
10,Lesley Rogers / Michael Aldred,United Kingdom,15.0,10,10
