Date,Co-Hosts,Guests/Segments
May 3,Regis Philbin & Kelly Ripa,"Betty White , Michael Weatherly , Halfway to Halloween Week"
May 4,Regis Philbin & Kelly Ripa,"Damon Wayans , Halfway to Halloween Week"
May 5,Regis Philbin & Kelly Ripa,"Tom Selleck , Joanna Philbin , Halfway to Halloween Week"
May 6,Regis Philbin & Kelly Ripa,"Joel McHale , Dancing with the Stars castoffs Pamela Anderson & Damian Whitewood , Halfway to Halloween Week"
May 7,Regis Philbin & Kelly Ripa,"Russell Crowe , Mario Lopez , Halfway to Halloween Week , Fitness Friday"
May 10,Regis Philbin & Kelly Ripa,"Denzel Washington , New Mom Makeovers Week"
May 11,Regis Philbin & Kelly Ripa,"Lucy Liu , New Mom Makeovers Week"
May 12,Regis Philbin & Kelly Ripa,"Queen Latifah , Beth Ostrosky Stern , New Mom Makeovers Week"
May 13,Regis Philbin & Kelly Ripa,"Teri Hatcher , Dancing with the Stars castoffs Niecy Nash & Louis van Amstel , New Mom Makeovers Week"
May 14,Regis Philbin & Kelly Ripa,"Amanda Seyfried , America 's Next Top Model winner , New Mom Makeovers Week , Fitness Friday"
May 17,Regis Philbin & Kelly Ripa,"Jimmy Kimmel , Survivor : Heroes vs. Villains winner , Top Teacher Week"
May 18,Regis Philbin & Kelly Ripa,"Matthew Fox , Matthew Morrison , Top Teacher Week"
May 19,Regis Philbin & Kelly Ripa,"Ashton Kutcher , Miss USA , Top Teacher Week"
May 20,Regis Philbin & Kelly Ripa,"Mike Myers , Dancing with the Stars castoffs Chad Ochocinco & Cheryl Burke , Top Teacher Week"
May 21,Regis Philbin & Kelly Ripa,"Cameron Diaz , Top Teacher Week , Fitness Friday"
May 24,Regis Philbin & Kelly Ripa,"Kim Cattrall , Bret Michaels"
May 25,Regis Philbin & Kelly Ripa,"Jonas Brothers , Cynthia Nixon , Jewel"
May 26,Regis Philbin & Kelly Ripa,"Jake Gyllenhaal , Dancing with the Stars champions Nicole Scherzinger & Derek Hough , Biggest Loser winner"
May 27,Regis Philbin & Kelly Ripa,"Sarah Jessica Parker , Dancing with the Stars runners-up Evan Lysacek & Anna Trebunskaya , Dancing with the Stars castoffs Erin Andrews & Maksim Chmerkovskiy"
May 28,Kelly Ripa & Anderson Cooper,"Kristin Davis , Fitness Friday , Coast-to-Coast Firehouse Cook-Off"
