Year,Athlete,Nationality,Time ( h : m : s ),Notes
1983,Gordon Perry,United Kingdom,3:20:07,Course record
1984,Kevin Breen,Ireland,2:38:40,Course record
1985,Chris Hallam,United Kingdom,2:19:53,Course record
1986,Gerry O'Rourke,Ireland,2:26:38,
1987,Chris Hallam,United Kingdom,2:08:34,Course record ; second victory
1988,Ted Vince,Canada,2:01:37,Course record
1989,David Holding,United Kingdom,1:59:31,Course record
1990,Hakan Ericsson,Sweden,1:57:12,Course record
1991,Farid Amarouche,France,1:52:52,Course record
1992,Daniel Wesley,Canada,1:51:42,Course record
1993,George Vandamme,Belgium,1:44:10,Course record
1994,David Holding,United Kingdom,1:46:06,Second victory
1995,Heinz Frei,Switzerland,1:39:14,Course record
1996,David Holding,United Kingdom,1:43:48,Third victory
1997,David Holding,United Kingdom,1:42:15,Fourth victory
1998,Heinz Frei,Switzerland,1:35:18,Course record ; second victory
1999,Heinz Frei,Switzerland,1:35:27,Third victory
2000,Kevin Papworth,United Kingdom,1:41:50,
2001,Denis Lemeunier,France,1:42:37,
2002,David Weir,United Kingdom,1:39:44,
