Episode,Star,From
1,gomez Selena Gomez,Wizards of Waverly Place
1,musso Mitchel Musso,"Pair of Kings , Hannah Montana"
1,ryan Debby Ryan,"Jessie , The Suite Life on Deck"
2,hicks Adam Hicks,"Lemonade Mouth , Zeke and Luther"
2,mcclain China Anne McClain,A.N.T . Farm
3,simpson Cody Simpson,Musician/band
3,zendaya Zendaya,"Shake It Up , Frenemies"
4,howard Leo Howard,"Kickin ' It , Leo Little 's Big Show"
4,thornton Tiffany Thornton,"So Random ! , Sonny with a Chance"
5,symone Raven-Symoné,"That 's So Raven , The Cheetah Girls 2"
5,thorne Bella Thorne,"Shake It Up , Frenemies"
6,allstar Allstar Weekend,Musician/band
6,mendler Bridgit Mendler,"Good Luck Charlie , Lemonade Mouth"
