Year,Title,Channel,Type,Role,Notes
2006,Dr. 90210,E !,reality television,Herself,Guest star / cameo appearance
2006,Playboy TV,Playboy TV,adult entertainment,Herself,Guest star / cameo appearance
2006,The Playboy Mansion,E !,adult entertainment,Herself,Guest star / cameo appearance
2006,Howard TV,Video on demand cable network,talk show,Herself,Mexican Delivery Guy Game ( aired November 2006 )
2007,Criss Angel Mindfreak,A & E,"magic , illusion",Herself,Actor
2007,Howard TV,Video on demand cable network,talk show,Herself,Foot Worship ( aired November 2007 )
2008,Rock of Love 2,VH1,reality television,Herself,Eliminated in episode 3 11th place
2008,Rock of Love : Charm School,VH1,reality television,Herself,Eliminated in episode 2 12th place
2008,Howard TV,Video on demand cable network,talk show,Herself,Bigfoot Password ( aired September 2008 )
2009,I Love Money 2,VH1,reality television,Herself,Eliminated Episode 13 6th place
2010,Rock of Love Girls : Where Are They Now,VH1,Reality television,Herself,
2014,Celebrity Big Brother,Channel 5,Reality television,Herself,Series 14
