Event,Date,Location,Venue,Attendance
PRIDE Shockwave /K-1 Dynamite !,"August 28 , 2002","Tokyo , Japan",Tokyo National Stadium,"91,107"
K-1 PREMIUM 2003 Dynamite ! !,"December 31 , 2003","Nagoya , Japan",Nagoya Dome,"43,500"
K-1 PREMIUM 2004 Dynamite ! !,"December 31 , 2004","Osaka , Japan",Osaka Dome,"52,918"
K-1 PREMIUM 2005 Dynamite ! !,"December 31 , 2005","Osaka , Japan",Osaka Dome,"53,025"
K-1 PREMIUM 2006 Dynamite ! !,"December 31 , 2006","Osaka , Japan",Osaka Dome,"51,930"
Dynamite ! ! USA,"June 2 , 2007","Los Angeles , California",Los Angeles Coliseum,"18,340"
K-1 PREMIUM 2007 Dynamite ! !,"December 31 , 2007","Osaka , Japan",Osaka Dome,"47,928"
Dynamite ! ! 2008,"December 31 , 2008","Saitama , Japan",Saitama Super Arena,"25,634"
Dynamite ! ! 2009,"December 31 , 2009","Saitama , Japan",Saitama Super Arena,"45,606"
Dynamite ! ! 2010,"December 31 , 2010","Saitama , Japan",Saitama Super Arena,"26,729"
