Game,Publisher,Release Date,Platform,MC score,GR score
Ride to Hell : Retribution,Deep Silver,"June 25 , 2013",PlayStation 3,13/100,10%
Unearthed : Trail of Ibn Battuta,Semanoor International,"May 29 , 2013",PlayStation 3,11/100,12.5%
Ride to Hell : Retribution,Deep Silver,"June 25 , 2013",Microsoft Windows,16/100,12%
Realms of Arkania : Blade of Destiny Revised,United Independent Entertainment,"July 30 , 2013",Microsoft Windows,18/100,15%
Ride to Hell : Retribution,Deep Silver,"June 25 , 2013",Xbox 360,19/100,15%
Double Dragon II : Wander of the Dragons,Barunson Creative,"April 5 , 2013",Xbox 360,17/100,15.83%
Motorbike,baKno Games,"June 25 , 2013",PlayStation 3,17/100,21.67%
Legends of Dawn,Dreamatrix Game Studios,"June 27 , 2013",Microsoft Windows,29/100,19%
Ben 10 : Omniverse 2,D3 Publisher,"November 9 , 2013",PlayStation 3,33/100,20%
Citadels,bitComposer Interactive,"July 25 , 2013",Microsoft Windows,20/100,42%
Fast & Furious : Showdown,Activision,"May 21 , 2013",PlayStation 3,21/100,21.25%
BlackSoul,XeniosVision,"November 14 , 2013",Microsoft Windows,22/100,25%
Fast & Furious : Showdown,Activision,"May 21 , 2013",Xbox 360,22/100,28.33%
Fighter Within,Ubisoft,"November 22 , 2013",Xbox One,23/100,24.68%
Teenage Mutant Ninja Turtles,Activision,"October 22 , 2013",Xbox 360,25/100,28.25%
R.I.P.D . The Game,Atlus USA,"July 17 , 2013",Microsoft Windows,26/100,31.43%
X Rebirth,Deep Silver,"November 15 , 2013",Microsoft Windows,33/100,29.8%
Power Rangers Megaforce,Bandai Namco Games,"November 5 , 2013",Nintendo 3DS,30/100,34.86%
Die ! Die ! Die !,iFun4all,"October 1 , 2013",PlayStation Vita,31/100,51.67%
Dracula 4 : The Shadow of the Dragon,Anuman,"June 18 , 2013",Microsoft Windows,32/100,35%
