Name,Shows,Events
Aéreo,1,2017
Perro Aguayo Jr,3,"2003 , 2004 , 2007"
Perro Aguayo,1,2000
La Amapola,4,"2006 , 2007 , 2008 , 2012"
Ángel Azteca,1,2003
Ángel de Oro,2,"2011 , 2017"
Arkangel de la Muerte,1,2003
Artillero,1,2006
Astral,2,"2012 , 2017"
Atlantis,11,"2000 , 2001 , 2002 , 2003 , 2004 , 2006 , 2007 , 2008 , 2010 , 2011 , 2017"
Averno,6,"2001 , 2003 , 2006 , 2007 , 2010 , 2012"
Bam Bam,1,2012
Bestia Salvaje,1,2000
Black Tiger ( III ),1,2002
Black Warrior,5,"2000 , 2002 , 2003 , 2007 , 2008"
Blue Panther,4,"2000 , 2007 , 2008 , 2011"
Blue Panther Jr,1,2017
Bracito de Oro,1,2002
Brazo de Plata,3,"2001 , 2002 , 2011"
Negro Casas,9,"2000 , 2001 , 2004 , 2007 , 2008 , 2010 , 2011 , 2012 , 2017"
