Elector,Title,Elevated,Elevator
Guy de Boulogne,Bishop of Porto e Santa Rufina ; commendatario of S. Cecilia and S. Crisogono,"September 20 , 1342",Pope Clement VI
"Raymond de Canillac , C.R.S.A",Bishop of Palestrina,"December 17 , 1350",Pope Clement VI ( Cardinal-nephew )
"Guillaume de la Sudrie , O.P",Bishop of Ostia e Velletri,"September 18 , 1366",Pope Urban V
Gilles Aycelin de Montaigu,Bishop of Frascati,"September 17 , 1361",Pope Innocent VI
Philippe de Cabassole,Bishop of Sabina,"September 22 , 1368",Pope Urban V
Pierre de Monteruc,Priest of S. Anastasia,"December 23 , 1356",Pope Innocent VI ( Cardinal-nephew )
Guillaume de la Jugié,Priest of S. Clemente,"1342 , September 20",Pope Clement VI ( Cardinal-nephew )
Jean de Blauzac,Priest of S. Marco,"September 17 , 1361",Pope Innocent VI
"Guillaume d'Aigrefeuille , O.S.B",Priest of S. Stefano al Monte Celio,"May 12 , 1367",Pope Urban V
Stephen Langham,Priest of S. Sisto,"September 22 , 1368",Pope Urban V
Bernard du Bosquet,Priest of SS . XII Apostoli,"September 22 , 1368",Pope Urban V
Jean de Dormans,Priest of SS . IV Coronati,"September 22 , 1368",Pope Urban V
Etienne de Poissy,Priest of S. Eusebio,"September 22 , 1368",Pope Urban V
Francesco Tebaldeschi,Priest of S. Sabina,"September 22 , 1368",Pope Urban V
Pietro Corsini,Priest of S. Lorenzo in Damaso,"1370 , June 7",Pope Urban V
Pierre Roger de Beaufort ( elected Pope Gregory XI ),Deacon of S. Maria Nuova,"1348 , May 28",Pope Clement VI ( Cardinal-nephew )
Rinaldo Orsini,Deacon of S. Adriano,"1350 , December 17",Pope Clement VI
Hugues de Saint-Martial,Deacon of S. Maria in Portico,"1361 , September 17",Pope Innocent VI
