Rank,Country,Team,Time
1,Romania,Constantina Diţă-Tomescu Mihaela Botezan Nuța Olaru,3:31:00
2,Russia,Galina Bogomolova Lidiya Grigoryeva Irina Timofeyeva,3:33:05
3,Japan,Terumi Asoshina Hiromi Ominami Yoko Yagi,3:35:42
4,Ethiopia,Merima Hashim Derartu Tulu Letay Nagash,3:36:04
5,Great Britain,Mara Yamauchi Hayley Haining Susan Partridge,3:40:08
6,Canada,Lioudmila Kortchaguina Nicole Stevenson Tara Quinn-Smith,3:42:39
7,Italy,Deborah Toniolo Vincenza Sicari Ivana Iozzia,3:43:55
8,Spain,María Luisa Lárraga Dolores Pulido María José Pueyo,3:49:21
9,United States,Laura Turner Jenny Spangler Stephanie Bylander,3:49:50
-,France,Christelle Daunay Carmen Oliveras Zahia Dahmani,DNF
-,Jamaica,Tamica Thomas Merrecia James Arieta Martin,DNF
-,Kenya,Susan Chepkemei Caroline Kilel Salina Kosgei,DNF
