Rank,City,Population,County,Description
1,Des Moines,"217,521",Polk Warren,"Des Moines is a major center for the insurance industry and also has a sizable financial services and publishing business base . In fact , Des Moines was credited with the number one spot for U.S. insurance companies in a Business Wire article . The city is the headquarters for the Principal Financial Group , the Meredith Corporation , Ruan Transportation , EMC Insurance Companies , and Wellmark Blue Cross Blue Shield . Forbes magazine ranked Des Moines as the Best Place for Business in 2010"
2,Cedar Rapids,"132,228",Linn,"Cedar Rapids is home to the Cedar Rapids Museum of Art , the National Czech & Slovak Museum & Library , the Paramount Theatre , Theatre Cedar Rapids , and the Iowa Cultural Corridor Alliance . It is also home to the Cedar Rapids Kernels ( Class A minor league baseball club affiliated with the Minnesota Twins ) , the Cedar Rapids RoughRiders ( hockey ) , the Cedar Rapids Titans ( IFL football ) , and the Cedar Rapids Rampage ( soccer )"
3,Davenport,"102,320",Scott,"Located approximately halfway between Chicago and Des Moines , Davenport is on the border of Iowa and Illinois within the area known as the Quad Cities . The city is prone to occasional flooding due to its location on the Mississippi River . There are two main universities : Saint Ambrose University and Palmer College of Chiropractic , which is where the first chiropractic adjustment took place . The city has a Class A minor league baseball team , the Quad Cities River Bandits and hosts the Quad City Air Show , Iowa 's largest airshow"
4,Sioux City,"82,514",Woodbury Plymouth,"Sioux City is at the navigational head of the Missouri River , about 95 miles north of the Omaha-Council Bluffs metropolitan area . Sioux City and the surrounding areas of northwestern Iowa , northeastern Nebraska and southeastern South Dakota are sometimes referred to as Siouxland , especially by the local media . The city is home to several cultural points of interest including the Sioux City Public Museum , Sioux City Art Center and Sergeant Floyd Monument , which is a National Historical Landmark"
5,Iowa City,"75,798",Johnson,"Iowa City was the second capital of the Iowa Territory and the first capital city of the State of Iowa . The Old Capitol building is a National Historic Landmark , and it is a tourist attraction in the center of the campus of the University of Iowa , as well as being an integral part of the university . The University of Iowa Art Museum and Plum Grove , the home of the first Governor of Iowa , are other landmarks . In 2008 , Forbes magazine named Iowa City the second-best small metropolitan area for doing business in the United States"
6,Waterloo,"67,587",Black Hawk,"The name Waterloo supplanted the original name , Prairie Rapids Crossing shortly after Charles Mullan petitioned for a post office in the town . Since the signed petition did not include the name of the proposed post office location , Mullan was charged with selecting the name when he submitted the petition . Tradition has it that as he flipped through a list of other post offices in the United States , he came upon the current name . The city is part of the Waterloo - Cedar Falls Metropolitan Statistical Area"
7,Ames,"66,498",Story,"Ames is the home of the Iowa State University , a public research institution , and Iowa State University College of Veterinary Medicine . Ames hosts a national site for the U.S. Department of Agriculture 's Animal and Plant Health and Inspection Service ( APHIS ) which comprises the National Veterinary Services Laboratories ( NVSL ) and the Center for Veterinary Biologics ( CVB ) , and the Agricultural Research Service 's National Animal Disease Center ( NADC )"
8,West Des Moines,"65,608",Polk Warren Dallas,The West Des Moines area used to be home to the Sac and Fox tribes . West Des Moines is the second-largest city in the Des Moines metropolitan area and the ninth-largest city in Iowa . It ranked 94th in Money magazine 's list of the 100 Best Places to Live and Launch in 2008 . It is one of Iowa 's largest and wealthiest cities and one of Des Moines 's richest suburbs
9,Ankeny,"62,416",Polk,"A 2015 Special Census count conducted from December 2014 through March 2015 has the population at 54,598 , a population growth of nearly 20% in the past 5 years . The population was 45,562 in the 2010 census , an increase of 68% from the 27,117 population in the 2000 census . It is part of the Des Moines - West Des Moines Metropolitan Statistical Area"
10,Council Bluffs,"62,316",Pottawattamie,"Council Bluffs , until 1852 , was Kanesville - the historic starting point of the Mormon Trail and eventual northernmost anchor town of the other emigrant trails . It is the county seat of Pottawattamie County , and is on the east bank of the Missouri River across from what is now the much larger city of Omaha , Nebraska"
