Date,Name,Moving from,Moving to,Fee
"April 3 , 2008",Gustavo Tormena,Juventude,Germinal Beerschot,Undisclosed
"April 6 , 2008",Paul Kpaka,Roeselare,Germinal Beerschot,Undisclosed
"April 9 , 2008",Juan Pablo Pino,Charleroi,AS Monaco,Loan Ended
"April 18 , 2008",Lens Annab,Eisden Sport,Westerlo,Undisclosed
"April 19 , 2008",Kanu,Barueri,Anderlecht,Undisclosed
"April 21 , 2008",Wouter Biebauw,Roeselare,Mechelen,Free
"April 21 , 2008",Joos Valgaeren,Club Brugge,Emmen,Free
"April 23 , 2008",Bart Goossens,Hamme,Roeselare,Undisclosed
"April 27 , 2008",Steve Dugardein,Mouscron,Oud-Heverlee Leuven,Free
"April 29 , 2008",Björn De Wilde,Unattached,Roeselare,Free
"April 30 , 2008",Thomas Matton,Oud-Heverlee Leuven,Zulte-Waregem,Undisclosed
"April 30 , 2008",Đorđe Svetličić,Gent,Germinal Beerschot,Undisclosed
