Team,Location,Stadium,Turf,Stadium capacity
AIK,Stockholm,Råsunda Stadium,Natural,"36,608"
Djurgårdens IF,Stockholm,Stockholm Stadion,Natural,"14,700"
IF Elfsborg,Borås,Borås Arena,Artificial,"16,899"
GAIS,Gothenburg,Gamla Ullevi,Natural,"18,416"
Gefle IF,Gävle,Strömvallen,Artificial,"6,711"
IFK Göteborg,Gothenburg,Gamla Ullevi,Natural,"18,416"
Helsingborgs IF,Helsingborg,Olympia,Natural,"16,500"
BK Häcken,Gothenburg,Rambergsvallen,Natural,"6,000"
Kalmar FF,Kalmar,Guldfågeln Arena,Natural,"12,000"
Malmö FF,Malmö,Swedbank Stadion,Natural,"24,000"
Mjällby AIF,Mjällby,Strandvallen,Natural,"7,000"
IFK Norrköping,Norrköping,Idrottsparken,Artificial,"17,234"
GIF Sundsvall,Sundsvall,Norrporten Arena,Artificial,"7,700"
Syrianska FC,Södertälje,Södertälje Fotbollsarena,Artificial,"6,400"
Åtvidabergs FF,Åtvidaberg,Kopparvallen,Artificial,"8,300"
Örebro SK,Örebro,Behrn Arena,Artificial,"13,129"
