#,Name,Pos,College,GP,Seasons
82,Ken MacAfee,E,Alabama,7,1959
38,David Macklin,CB,Penn State,6,2007
-,Jim MacMurdo,OL,Pittsburgh,20,1932-33
24,Bill Malinchak,WR,Indiana,58,"1970-74 , 1976"
25,Benny Malone,RB,Arizona State,25,1978-79
19,Charley Malone,E,Texas A & M,84,"1934-40 , 1942"
72,Dexter Manley,DE,Oklahoma State,125,1981-89
71,Charles Mann,DE,Nevada,163,1983-93
14,Tillie Manton,FB,Louisiana State,7,1938
91,Greg Manusky,LB,Colgate,39,1988-90
64,Ron Marciniak,G,Kansas State,12,1955
75,Bud Marshall,OT,Baylor,6,1966
34,Byron Marshall,RB,Oregon,10,2017- present
52/98,Lemar Marshall,LB,Michigan State,75,2002-06
70,Leonard Marshall,DE,Louisiana State,16,1994
58,Wilber Marshall,LB,Florida,80,1988-92
40,Aaron Martin,CB,North Carolina Central,14,1968
38,Jim Martin,K / LB,Notre Dame,14,1964
98,Steve Martin,DE,Jackson State,3,1987
53,Eddie Mason,LB,North Carolina,61,1999-02
