Title,Director,Cast,Country
24 Hours to Live,Brain Smrz,"Ethan Hawke , Xu Qing , Paul Anderson",South Africa United States
American Assassin,Michael Cuesta,"Dylan O'Brien , Michael Keaton , Sanaa Lathan , Shiva Negar , Taylor Kitsch",United States
Atomic Blonde,David Leitch,"Charlize Theron , James McAvoy , John Goodman",United States
Baby Driver,Edgar Wright,"Ansel Elgort , Kevin Spacey , Lily James",United Kingdom United States
Baywatch,Seth Gordon,"Dwayne Johnson , Zac Efron , Priyanka Chopra",United States
Blade of the Immortal,Takashi Miike,"Takuya Kimura , Hana Sugisaki , Sota Fukushi",Japan
CHiPs,Dax Shepard,"Dax Shepard , Michael Pena , Rosa Salazar",United States
Ghost in the Shell,Rupert Sanders,"Scarlett Johansson , Takeshi Kitano , Pilou Asbæk",United States
Guardians of the Galaxy Vol . 2,James Gunn,"Chris Pratt , Zoe Saldana , Kurt Russell",United States
Jailbreak,Jimmy Henderson,"Jean-Paul Ly , Dara Our , Céline Tran",Cambodia
John Wick : Chapter 2,Chad Stahelski,"Keanu Reeves , Common , Laurence Fishburne",United States
Justice League,Zack Snyder,"Ben Affleck , Henry Cavill , Gal Gadot",United States
Kingsman : The Golden Circle,Matthew Vaughn,"Taron Egerton , Sophie Cookson",United Kingdom United States
Kong : Skull Island,Jordan Vogt-Roberts,"Tom Hiddleston , Samuel L. Jackson , John Goodman",United States
Logan,James Mangold,"Hugh Jackman , Patrick Stewart , Boyd Holbrook",United States
Overdrive,Antonio Negret,"Scott Eastwood , Freddie Thorp , Simon Abkarian",France
Paradox,Wilson Yip,"Louis Koo , Gordon Lam , Wu Yue , Tony Jaa",Hong Kong China
Power Rangers,Dean Israelite,"Dacre Montgomery , Naomi Scott , RJ Cyler",United States
Renegades,Steven Quale,"Sullivan Stapleton , J. K. Simmons , Charlie Bewley",France Germany
Savage Dog,Jesse V. Johnson,"Scott Adkins , Marko Zaror , JuJu Chan",United States
