Season,Winner,Runner-up,Third
1996-97,Bjørn Dæhlie,Fulvio Valbusa,Silvio Fauner
1997-98,Thomas Alsgaard,Bjørn Dæhlie,Vladimir Smirnov
1998-99,Bjørn Dæhlie ( 2 ),Odd-Bjørn Hjelmeset,Mathias Fredriksson
1999-00,Morten Brørs,Odd-Bjørn Hjelmeset ( 2 ),Håvard Solbakken
2000-01,Jan Jacob Verdenius,Cristian Zorzi,Tor Arne Hetland
2001-02,Trond Iversen,Jens Arne Svartedal,Cristian Zorzi
2002-03,Thobias Fredriksson,Tor Arne Hetland,Lauri Pyykönen
2003-04,Thobias Fredriksson ( 2 ),Jens Arne Svartedal ( 2 ),Håvard Bjerkeli
2004-05,Tor Arne Hetland,Eldar Rønning,Trond Iversen
2005-06,Björn Lind,Thobias Fredriksson,Tor Arne Hetland
2006-07,Jens Arne Svartedal,Trond Iversen,Emil Jönsson
2007-08,Ola Vigen Hattestad,Emil Jönsson,John Kristian Dahl
2008-09,Ola Vigen Hattestad,Renato Pasini,Tor Arne Hetland ( 3 )
2009-10,Emil Jönsson,Petter Northug,Alexei Petukhov
2010-11,Emil Jönsson,Ola Vigen Hattestad,Jesper Modin
2011-12,Teodor Peterson,Nikolay Morilov,Eirik Brandsdal
2012-13,Emil Jönsson ( 3 ),Petter Northug,Nikita Kryukov
2013-14,Ola Vigen Hattestad ( 3 ),Eirik Brandsdal,Josef Wenzl
2014-15,Finn Hågen Krogh,Eirik Brandsdal ( 2 ),Federico Pellegrino
2015-16,Federico Pellegrino,Petter Northug ( 3 ),Finn Hågen Krogh
