Rank,City/town,County,Region/province,Population,Country
1,Dublin,County Dublin,Leinster,"1,173,179",Republic of Ireland
2,Liverpool,Merseyside,North West,"864,122",England
3,Belfast,County Antrim,Ulster,"847,153",Northern Ireland
4,Blackpool,Lancashire,North West,"82,964",England
5,Morecambe,Lancashire,North West,"50,525",England
6,Birkenhead,Merseyside,North West,"49,242",England
7,Bangor,County Down,Ulster,"41,011",Northern Ireland
8,Wallasey,Merseyside,North West,"43,656a",England
9,Barrow-in-Furness,Cumbria,North West,"42,643",England
10,Crosby,Merseyside,North West,"41,789",England
11,Lytham St Annes,Lancashire,North West,"42,954",England
12,Drogheda,County Louth,Leinster,"40,956",Republic of Ireland
13,Dundalk,County Louth,Leinster,"39,004",Republic of Ireland
14,Morecambe,Lancashire,North West,"55,589",England
15,Bray,County Wicklow,Leinster,"32,600",Republic of Ireland
16,Colwyn Bay,Conwy,Clwyd,"31,353",Wales
17,Thornton-Cleveleys,Lancashire,North West,"31,157",England
18,Douglas,-,Isle of Man,"27,938",Isle of Man
19,Carrickfergus,County Antrim,Ulster,"27,903",Northern Ireland
20,Dún Laoghaire,Dún Laoghaire-Rathdown,Leinster,"26,525",Republic of Ireland
