,Name on the Register,Date listed,Location,City or town
1,Antioch Dependent School District No . 15,"December 6 , 2004 ( # 04001333 )",0.5 miles west of the junction of Antioch Rd and State Highway 74 34°43′30″N 97°24′42″W / 34.725°N 97.411667°W / 34.725 ; -97.411667 ( Antioch Dependent School District No . 15 ),Elmore City
2,Beaty School,"September 8 , 2017 ( # 100001592 )",Cty . Rd . 3210 at Royal Oaks Rd . 34°43′29″N 97°16′59″W / 34.724671°N 97.28293°W / 34.724671 ; -97.28293 ( Beaty School ),Pauls Valley vicinity
3,Erin Springs Mansion,"June 22 , 1970 ( # 70000534 )",South of the Washita River 34°48′30″N 97°36′16″W / 34.808333°N 97.604444°W / 34.808333 ; -97.604444 ( Erin Springs Mansion ),Erin Springs
4,Eskridge Hotel,"October 3 , 1979 ( # 79001994 )",114 E. Robert S. Kerr St. 34°38′36″N 97°10′10″W / 34.643333°N 97.169444°W / 34.643333 ; -97.169444 ( Eskridge Hotel ),Wynnewood
5,First National Bank Building,"June 14 , 2001 ( # 01000659 )",100 W. Main 34°47′44″N 96°57′44″W / 34.795556°N 96.962222°W / 34.795556 ; -96.962222 ( First National Bank Building ),Stratford
6,Fort Arbuckle Site,"June 13 , 1972 ( # 72001064 )",About 0.5 miles north of Hoover on State Highway 7 34°31′39″N 97°15′00″W / 34.5275°N 97.25°W / 34.5275 ; -97.25 ( Fort Arbuckle Site ),Hoover
7,Garvin County Courthouse,"November 8 , 1985 ( # 85002758 )",Courthouse Sq . and Grant Ave. 34°44′25″N 97°13′18″W / 34.740278°N 97.221667°W / 34.740278 ; -97.221667 ( Garvin County Courthouse ),Pauls Valley
8,Hargis-Mitchell-Cochran House,"June 2 , 1982 ( # 82003684 )",204 E. Robert S. Kerr St. 34°38′35″N 97°10′08″W / 34.643056°N 97.168889°W / 34.643056 ; -97.168889 ( Hargis-Mitchell-Cochran House ),Wynnewood
9,Initial Point,"October 6 , 1970 ( # 70000533 )",About 7.5 miles west of Davis on the Garvin/Murray county line 34°30′24″N 97°14′49″W / 34.506667°N 97.246944°W / 34.506667 ; -97.246944 ( Initial Point ),Davis
10,Moore-Settle House,"March 25 , 1983 ( # 83002086 )",508 E. Cherokee St. 34°38′34″N 97°09′50″W / 34.642778°N 97.163889°W / 34.642778 ; -97.163889 ( Moore-Settle House ),Wynnewood
11,Pauls Valley Historic District,"February 1 , 1979 ( # 79001993 )","Roughly bounded by railroad tracks , Grant Ave. , and Joy St. 34°44′24″N 97°13′10″W / 34.74°N 97.219444°W / 34.74 ; -97.219444 ( Pauls Valley Historic District )",Pauls Valley
12,Santa Fe Depot of Lindsay,"April 25 , 1986 ( # 86000863 )",120 N. Main 34°50′14″N 97°36′09″W / 34.837222°N 97.6025°W / 34.837222 ; -97.6025 ( Santa Fe Depot of Lindsay ),Lindsay
