Name,Club,Appointed,Time as manager
Vegard Hansen,Mjøndalen,1 January 2006,"14 years , 38 days"
Christian Michelsen,Kristiansund,6 February 2014,"6 years , 2 days"
Lars Arne Nilsen,Brann,29 May 2015,"4 years , 255 days"
Kjetil Knutsen,Bodø/Glimt,17 November 2017,"2 years , 83 days"
Bjarne Berntsen,Viking,19 December 2017,"2 years , 51 days"
Lars Bohinen,Aalesund,20 December 2017,"2 years , 50 days"
Martí Cifuentes,Sandefjord,31 May 2018,"1 year , 253 days"
Erling Moe,Molde,19 December 2018,"1 year , 51 days"
Jostein Grindhaug,Haugesund,8 January 2019,"1 year , 31 days"
Eirik Horneland,Rosenborg,9 January 2019,"1 year , 30 days"
Jóhannes Harðarson,Start,3 April 2019,311 days
Jan Jönsson,Stabæk,11 June 2019,242 days
Henrik Pedersen,Strømsgodset,20 June 2019,233 days
Mikael Stahre,Sarpsborg 08,13 January 2020,26 days
Dag-Eilev Fagermo,Vålerenga,31 January 2020,8 days
vacant,Odd,,
