Date,Venue,Opponent,Res . *,Comp,Norwegian goalscorers
May 20,Oslo,Austria,0-1,EC 1/8 final,
June 17,Oslo,Luxembourg,1-0,F,Harald Hennum
June 28,Helsinki,Finland,4-2,F,"Harald Hennum ( 2 ) , Bjørn Borgen , Ragnar Lasen"
July 2,Copenhagen,Denmark,1-2,OGQ,Rolf Birger Pedersen
July 7,Reykjavík,Iceland,0-1,OGQ,
August 21,Oslo,Iceland,2-1,OGQ,"Rolf Bjørn Backe , Kjell Kristiansen"
September 13,Oslo,Denmark,2-4,OGQ,"Åge Sørensen , Kjell Kristiansen"
September 23,Vienna,Austria,2-5,EC 1/8 final,
October 18,Gothenburg,Sweden,2-6,F,"Rolf Bjørn Backe , Harald Hennum"
November 4,Rotterdam,Netherlands,1-7,F,Per Kristoffersen
