#,Artist,Artist 's nationality,Title
1,Lady Gaga,United States,Poker Face
2,Emilíana Torrini,Iceland,Jungle Drum
3,Milow,Belgium,Ayo Technology
4,Cassandra Steen featuring Adel Tawil,Germany,Stadt
5,Mando Diao,Sweden,Dance with Somebody
6,Razorlight,United Kingdom Sweden,Wire to Wire
7,Silbermond,Germany,Irgendwas bleibt
8,Gossip,United States,Heavy Cross
9,The Black Eyed Peas,United States,I Got ta Feeling
10,David Guetta featuring Kelly Rowland,France United States,When Love Takes Over
11,Marit Larsen,Norway,If a Song Could Get Me You
12,James Morrison featuring Nelly Furtado,United Kingdom Canada,Broken Strings
13,Katy Perry,United States,Hot n Cold
14,David Guetta featuring Akon,France United States,Sexy Bitch
15,Polarkreis 18,Germany,"Allein , Allein"
16,Robbie Williams,United Kingdom,Bodies
17,Peter Fox,Germany,Haus am See
18,Beyoncé,United States,Halo
19,Daniel Schuhmacher,Germany,Anything but Love
20,Mark Medlock,Germany,Mamacita
