Name,Age,Species,Date discovered,Country,Discovered by
Taung 1 ( Taung Child ),2.5 Ma,Australopithecus africanus,1924,South Africa,Raymond Dart
KNM-WT 17000 ( The Black Skull ),2.5 Ma,Paranthropus aethiopicus,1985,Kenya,Alan Walker
BOU-VP-12/130,2.5 Ma,Australopithecus garhi,1997,Ethiopia,Yohannes Haile-Selassie
UR 501 ( Uraha jawbone ),2.4 ± 0.1 Ma,Homo rudolfensis,1991,Malawi,"Tyson Msiska , Timothy Bromage , Friedemann Schrenk"
STS 71,2.6 ± 0.2 Ma,Australopithecus africanus,1947,"Sterkfontein , South Africa",Robert Broom and John T. Robinson
STS 52,2.3 Ma,Australopithecus africanus,1947,"Sterkfontein , South Africa",Robert Broom
STS 5 ( Mrs. Ples ) ( STS 14 ),2.05 Ma,Australopithecus africanus,1947,"Sterkfontein , South Africa",Robert Broom
TM 1517,2 Ma,Paranthropus robustus,1938,South Africa,Gert Terblanche
MH1 ( Karabo ),1.98 Ma,Australopithecus sediba,2008,"Malapa , South Africa",Lee R. Berger
KNM-ER 1813,1.9 Ma,Homo habilis,1973,Kenya,Kamoya Kimeu
KNM-ER 1470,1.9 Ma,Homo rudolfensis,1972,Kenya,Bernard Ngeneo
OH 24 ( Twiggy ),1.8 Ma,Homo habilis,1968,Tanzania,Peter Nzube
SK 48,1.8 Ma,Paranthropus robustus,1948,"Swartkrans , South Africa",Robert Broom
OH 8,1.8 Ma,Homo habilis,1960,"Olduvai , Tanzania",
D2700 ( Dmanisi Skull 3 ),1.81 ± 0.04 Ma,Homo erectus,2001,"Dmanisi , Georgia",David Lordkipanidze and Abesalom Vekua
D3444 ( Dmanisi Skull 4 ),1.81 ± 0.04 Ma,Homo erectus,2003,"Dmanisi , Georgia",David Lordkipanidze
D4500 ( Dmanisi Skull 5 ),1.81 ± 0.04 Ma,Homo erectus,2005 ( published in 2013 ),"Dmanisi , Georgia",David Lordkipanidze
KNM-ER 62000-62003,1.84 ± 0.06 Ma,Homo rudolfensis,2012,"Koobi Fora , Kenya",Meave Leakey 's team
OH 5 ( Zinj or nutcracker man ),1.75 Ma,Paranthropus boisei,1959,Tanzania,Mary Leakey
OH 7,1.75 Ma,Homo habilis,1960,Tanzania,Jonathan Leakey
