Church name,Address,Community
All Saints,3431 Portola Ave. 34°05′08″N 118°10′22″W / 34.08556°N 118.17278°W / 34.08556 ; -118.17278 ( All Saints ),Los Angeles ( El Sereno )
Assumption,2832 Blanchard St. 34°02′54″N 118°11′52″W / 34.04833°N 118.19778°W / 34.04833 ; -118.19778 ( Assumption ),Los Angeles ( Boyle Heights )
Dolores Mission,171 South Gless St. 34°02′44″N 118°13′23″W / 34.04556°N 118.22306°W / 34.04556 ; -118.22306 ( Dolores Mission ),Los Angeles ( Aliso Village )
Our Lady Help of Christians,512 South Avenue 20 34°04′02″N 118°13′04″W / 34.06722°N 118.21778°W / 34.06722 ; -118.21778 ( Our Lady Help of Christians ),Los Angeles ( Lincoln Heights )
Our Lady of Guadalupe,4018 Hammel Street ( parish ) 34°02′31″N 118°10′45″W / 34.04194°N 118.17917°W / 34.04194 ; -118.17917 ( Our Lady of Guadalupe ) 4100 East 2nd Street ( sanctuary ) 34°02′02″N 118°10′39″W / 34.03389°N 118.17750°W / 34.03389 ; -118.17750 ( Our Lady of Guadalupe Sanctuary ),East Los Angeles
Our Lady of Guadalupe ( Rose Hill ),4509 Mercury Avenue 34°05′09″N 118°11′24″W / 34.08583°N 118.19000°W / 34.08583 ; -118.19000 ( Our Lady of Guadalupe ( Rose Hill ) ),Los Angeles ( Monterey Hills )
Our Lady of Lourdes,3772 East 3rd Street 34°01′58″N 118°11′12″W / 34.03278°N 118.18667°W / 34.03278 ; -118.18667 ( Our Lady of Lourdes ),East Los Angeles
Our Lady of Solitude,4561 Cesar E. Chavez Avenue 34°02′26″N 118°10′02″W / 34.04056°N 118.16722°W / 34.04056 ; -118.16722 ( Our Lady of Solitude ),East Los Angeles
Our Lady of the Rosary of Talpa,2914 East 4th Street 34°02′13″N 118°12′16″W / 34.03694°N 118.20444°W / 34.03694 ; -118.20444 ( Our Lady of the Rosary of Talpa ),Los Angeles ( Boyle Heights )
Our Lady of Victory,1316 South Herbert Avenue 34°00′58″N 118°11′00″W / 34.01611°N 118.18333°W / 34.01611 ; -118.18333 ( Our Lady of Victory ),East Los Angeles
Our Lady Queen of Martyrs Church ( Armenian ),1327 Pleasant Avenue 34°03′06″N 118°13′19″W / 34.05167°N 118.22194°W / 34.05167 ; -118.22194 ( Our Lady Queen of Martyrs Church ( Armenian ) ),Los Angeles ( Boyle Heights )
Resurrection,3324 East Opal Street 34°01′21″N 118°12′20″W / 34.02250°N 118.20556°W / 34.02250 ; -118.20556 ( Resurrection ),Los Angeles ( Boyle Heights )
Sacred Heart,2210 Sichel Street 34°04′13″N 118°12′45″W / 34.07028°N 118.21250°W / 34.07028 ; -118.21250 ( Sacred Heart ),Los Angeles ( Lincoln Heights )
San Antonio de Padua,555 North Fairview Avenue 34°03′10″N 118°13′14″W / 34.05278°N 118.22056°W / 34.05278 ; -118.22056 ( San Antonio de Padua ),Los Angeles ( Boyle Heights )
San Francisco,4800 East Olympic Boulevard 34°01′03″N 118°09′56″W / 34.01750°N 118.16556°W / 34.01750 ; -118.16556 ( San Francisco ),East Los Angeles
Santa Isabel,918 South Soto Street 34°02′01″N 118°12′57″W / 34.03361°N 118.21583°W / 34.03361 ; -118.21583 ( Santa Isabel ),Los Angeles ( Boyle Heights )
Santa Teresita,2645 Zonal Avenue 34°03′26″N 118°11′51″W / 34.05722°N 118.19750°W / 34.05722 ; -118.19750 ( Santa Teresita ),Los Angeles ( Lincoln Heights )
St. Alphonsus,5223 Hastings Street 34°01′33″N 118°09′16″W / 34.02583°N 118.15444°W / 34.02583 ; -118.15444 ( St. Alphonsus ),East Los Angeles
St. Camillus Catholic Center for Pastoral Care,1911 Zonal Avenue 34°03′40″N 118°12′31″W / 34.06111°N 118.20861°W / 34.06111 ; -118.20861 ( St. Camillus ),Los Angeles ( LAC+USC Hospital )
St. Lucy,1419 North Hazard Avenue 34°03′21″N 118°10′44″W / 34.05583°N 118.17889°W / 34.05583 ; -118.17889 ( St. Lucy ),City Terrace
