District,Representative,Party,Residence,First elected
1,Carolyn Jackson,Dem,Hammond,2018
2,Earl Harris Jr,Dem,East Chicago,2016
3,Ragen Hatcher,Dem,Gary,2018
4,Edmond Soliday,Rep,Valparaiso,2006
5,Dale DeVon,Rep,Granger,2012
6,B. Patrick Bauer,Dem,South Bend,1970
7,Ross Deal,Dem,Mishawaka,2018†
8,Ryan Dvorak,Dem,South Bend,2002
9,Patricia Boy,Dem,Michigan City,2018
10,Charles Moseley,Dem,Portage,2008
11,Michael Aylesworth,Rep,Hebron,2014
12,Mara Candelaria Reardon,Dem,Munster,2016 ( 2006-2014 )
13,Sharon Negele,Rep,Attica,2012
14,Vernon Smith,Dem,Gary,1990
15,Chris Chyung,Dem,Dyer,2018
16,Douglas Gutwein,Rep,Francesville,2008
17,Jack Jordan,Rep,Bremen,2016
18,David Wolkins,Rep,Winona Lake,1988
19,Lisa Beck,Dem,Hebron,2018
20,Jim Pressel,Rep,LaPorte,2016
